 1 Valid (clean) EPE: 1.881963, 1px: 0.880556, 3px: 0.945441, 5px: 0.959906
 1 Valid (final) EPE: 3.478758, 1px: 0.826785, 3px: 0.902549, 5px: 0.923544
 2 Valid (clean) EPE: 1.813109, 1px: 0.886733, 3px: 0.949098, 5px: 0.963069
 2 Valid (final) EPE: 3.528487, 1px: 0.832106, 3px: 0.905379, 5px: 0.926330
 3 Valid (clean) EPE: 1.623860, 1px: 0.888371, 3px: 0.950427, 5px: 0.964510
 3 Valid (final) EPE: 3.116501, 1px: 0.836423, 3px: 0.908710, 5px: 0.929367
 4 Valid (clean) EPE: 1.572977, 1px: 0.890822, 3px: 0.950610, 5px: 0.964466
 4 Valid (final) EPE: 3.121981, 1px: 0.838750, 3px: 0.909891, 5px: 0.930062
 5 Valid (clean) EPE: 1.540067, 1px: 0.894699, 3px: 0.952745, 5px: 0.965513
 5 Valid (final) EPE: 3.068668, 1px: 0.844585, 3px: 0.914566, 5px: 0.933976
 6 Valid (clean) EPE: 1.524697, 1px: 0.895983, 3px: 0.953349, 5px: 0.966228
 6 Valid (final) EPE: 2.990970, 1px: 0.845804, 3px: 0.914758, 5px: 0.934383
 7 Valid (clean) EPE: 1.538638, 1px: 0.897006, 3px: 0.954075, 5px: 0.966939
 7 Valid (final) EPE: 2.877242, 1px: 0.843959, 3px: 0.913566, 5px: 0.934167
 8 Valid (clean) EPE: 1.521849, 1px: 0.897546, 3px: 0.954496, 5px: 0.967210
 8 Valid (final) EPE: 2.896829, 1px: 0.847902, 3px: 0.915987, 5px: 0.935166
 9 Valid (clean) EPE: 1.437754, 1px: 0.899383, 3px: 0.955266, 5px: 0.968023
 9 Valid (final) EPE: 2.838459, 1px: 0.848714, 3px: 0.917373, 5px: 0.936828
10 Valid (clean) EPE: 1.397100, 1px: 0.901135, 3px: 0.956394, 5px: 0.968827
10 Valid (final) EPE: 2.966351, 1px: 0.849159, 3px: 0.914941, 5px: 0.934708
11 Valid (clean) EPE: 1.428191, 1px: 0.901999, 3px: 0.956346, 5px: 0.968660
11 Valid (final) EPE: 2.800664, 1px: 0.849104, 3px: 0.914889, 5px: 0.934519
12 Valid (clean) EPE: 1.343445, 1px: 0.902799, 3px: 0.957456, 5px: 0.969558
12 Valid (final) EPE: 2.780876, 1px: 0.850597, 3px: 0.916818, 5px: 0.935889

python train.py --name gma2-things --stage things --validation sintel --output results/things/gma2 --restore_ckpt results/chairs/gma2/gma2-chairs.pth --num_steps 120000 --lr 0.000125 --image_size 400 720 --wdecay 0.0001 --gpus 0 1 --batch_size 6 --val_freq 10000 --print_freq 100 --mixed_precision

Time: 10131959
Args:
Namespace(add_noise=False, batch_size=6, clip=1.0, corr_norm_type='none', corr_radius=4, craft=False, dropout=0.0, epsilon=1e-08, f2_pos_code_weight=0.5, f2trans=False, freeze_bn=False, gamma=0.8, gpus=[0, 1], image_size=[400, 720], inter_num_modes=4, inter_pos_code_type='bias', inter_pos_code_weight=0.5, inter_qk_have_bias=True, intra_num_modes=4, intra_pos_code_type='bias', intra_pos_code_weight=1.0, iters=12, load_optimizer_state=False, load_scheduler_state=False, lr=0.000125, mixed_precision=True, model_name='', name='gma2-things', num_heads=1, num_steps=160000, output='results/things/gma2', perturb_inter_posw_range=0.0, perturb_intra_posw_range=0.0, pos_bias_radius=7, position_and_content=False, position_only=False, print_freq=100, restore_ckpt='results/chairs/gma2/gma2-chairs.pth', setrans=False, small=False, stage='things', upsample_learn=False, val_freq=10000, validation=['sintel'], wdecay=0.0001)
Lookup radius: 4
Parameter Count: 6174785
Training with 80604 image pairs
Model checkpoint loaded from results/chairs/gma2/gma2-chairs.pth: <All keys matched successfully>.
Optimizer state NOT loaded.
Scheduler state NOT loaded.
Logger NOT loaded.
train.py:227: FutureWarning: Non-finite norm encountered in torch.nn.utils.clip_grad_norm_; continuing anyway. Note that the default behavior will change in a future release to error out if a non-finite total norm is encountered. At that point, setting error_if_nonfinite=false will be required to retain the old behavior.
  torch.nn.utils.clip_grad_norm_(model.parameters(), args.clip)
/home/shaohua/.local/lib/python3.8/site-packages/torch/optim/lr_scheduler.py:129: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
  warnings.warn("Detected call of `lr_scheduler.step()` before `optimizer.step()`. "
/home/shaohua/.local/lib/python3.8/site-packages/torch/optim/lr_scheduler.py:1289: UserWarning: To get the last learning rate computed by the scheduler, please use `get_last_lr()`.
  warnings.warn("To get the last learning rate computed by the scheduler, "
[   100,  0.0000065]     0.6333,     0.7846,     0.8214,    12.6327,    19h02m
[   200,  0.0000080]     0.6283,     0.7692,     0.8056,    13.2052,    17h53m
[   300,  0.0000095]     0.6610,     0.7969,     0.8335,    10.8379,    17h50m
[   400,  0.0000110]     0.6699,     0.8005,     0.8375,     9.9720,    17h53m
[   500,  0.0000125]     0.6877,     0.8113,     0.8463,     9.2613,    17h51m
[   600,  0.0000140]     0.6894,     0.8130,     0.8488,     8.4393,    17h50m
[   700,  0.0000155]     0.6906,     0.8157,     0.8508,     9.1886,    17h49m
[   800,  0.0000170]     0.6847,     0.8080,     0.8427,     9.5638,    17h53m
[   900,  0.0000185]     0.6971,     0.8144,     0.8478,     9.7945,    17h51m
[  1000,  0.0000200]     0.6804,     0.8049,     0.8397,     9.4680,    17h50m
[  1100,  0.0000215]     0.7000,     0.8182,     0.8507,     8.9811,    17h49m
[  1200,  0.0000230]     0.6852,     0.8055,     0.8399,     9.3046,    17h48m
[  1300,  0.0000245]     0.6829,     0.8026,     0.8371,     9.8850,    17h50m
[  1400,  0.0000260]     0.6916,     0.8053,     0.8381,    11.7211,    17h49m
[  1500,  0.0000275]     0.6901,     0.8104,     0.8448,     9.9191,    17h48m
[  1600,  0.0000290]     0.6901,     0.8068,     0.8399,    10.6522,    17h45m
[  1700,  0.0000305]     0.6987,     0.8123,     0.8453,    10.2644,    17h47m
[  1800,  0.0000320]     0.6781,     0.8012,     0.8358,    10.8379,    17h44m
[  1900,  0.0000335]     0.6978,     0.8156,     0.8478,     9.9386,    17h44m
[  2000,  0.0000350]     0.6952,     0.8161,     0.8494,     9.3616,    17h42m
[  2100,  0.0000365]     0.6943,     0.8066,     0.8394,    10.9521,    17h43m
[  2200,  0.0000380]     0.6926,     0.8131,     0.8476,     8.5917,    17h41m
[  2300,  0.0000395]     0.6981,     0.8146,     0.8482,     9.8652,    17h40m
[  2400,  0.0000410]     0.7074,     0.8222,     0.8553,     8.7886,    17h41m
[  2500,  0.0000425]     0.7095,     0.8250,     0.8585,     8.3625,    17h41m
[  2600,  0.0000440]     0.6986,     0.8151,     0.8474,    10.5447,    17h40m
[  2700,  0.0000455]     0.7058,     0.8162,     0.8490,     9.2809,    17h40m
[  2800,  0.0000470]     0.6891,     0.8086,     0.8429,     9.8580,    17h38m
[  2900,  0.0000485]     0.7139,     0.8315,     0.8650,     6.7409,    17h38m
[  3000,  0.0000500]     0.7205,     0.8318,     0.8627,     9.2756,    17h37m
[  3100,  0.0000515]     0.7030,     0.8174,     0.8505,     9.6713,    17h39m
[  3200,  0.0000530]     0.7054,     0.8152,     0.8471,    10.7912,    17h38m
[  3300,  0.0000545]     0.7097,     0.8230,     0.8553,     9.2639,    17h38m
[  3400,  0.0000560]     0.7019,     0.8188,     0.8527,     9.8975,    17h35m
[  3500,  0.0000575]     0.7045,     0.8241,     0.8577,     8.3357,    17h36m
[  3600,  0.0000590]     0.7099,     0.8263,     0.8594,     8.1403,    17h37m
[  3700,  0.0000605]     0.6889,     0.8065,     0.8413,    10.8729,    17h37m
[  3800,  0.0000620]     0.7253,     0.8415,     0.8726,     6.3019,    17h38m
[  3900,  0.0000635]     0.7061,     0.8209,     0.8539,     8.9088,    17h31m
[  4000,  0.0000650]     0.7074,     0.8213,     0.8542,     9.3399,    17h39m
[  4100,  0.0000665]     0.7126,     0.8240,     0.8554,     9.4500,    17h42m
[  4200,  0.0000680]     0.7212,     0.8338,     0.8653,     7.8533,    17h33m
[  4300,  0.0000695]     0.7141,     0.8257,     0.8571,    10.1537,    17h33m
[  4400,  0.0000710]     0.7005,     0.8189,     0.8515,     9.2675,    17h34m
[  4500,  0.0000725]     0.7082,     0.8228,     0.8544,     9.5729,    17h31m
[  4600,  0.0000740]     0.7147,     0.8236,     0.8552,     8.7183,    17h33m
[  4700,  0.0000754]     0.7054,     0.8217,     0.8540,     9.8399,    17h32m
[  4800,  0.0000769]     0.7121,     0.8281,     0.8612,     8.3676,    17h32m
[  4900,  0.0000784]     0.7037,     0.8199,     0.8532,     9.0804,    17h28m
[  5000,  0.0000799]     0.7176,     0.8289,     0.8597,     9.5897,    17h27m
[  5100,  0.0000814]     0.7157,     0.8279,     0.8596,     8.0914,    17h26m
[  5200,  0.0000829]     0.6951,     0.8157,     0.8492,     8.9269,    17h26m
[  5300,  0.0000844]     0.7061,     0.8213,     0.8534,     9.0619,    17h25m
[  5400,  0.0000859]     0.6963,     0.8139,     0.8471,    10.6784,    17h26m
[  5500,  0.0000874]     0.7060,     0.8228,     0.8564,     9.3869,    17h26m
[  5600,  0.0000889]     0.7045,     0.8190,     0.8513,    10.3377,    17h27m
[  5700,  0.0000904]     0.7070,     0.8226,     0.8551,     8.0995,    17h25m
[  5800,  0.0000919]     0.6973,     0.8128,     0.8463,    10.6826,    17h25m
[  5900,  0.0000934]     0.7067,     0.8177,     0.8489,     9.9882,    17h23m
[  6000,  0.0000949]     0.6968,     0.8164,     0.8508,     9.8125,    17h22m
[  6100,  0.0000964]     0.6993,     0.8175,     0.8508,     9.1800,    17h25m
[  6200,  0.0000979]     0.6994,     0.8172,     0.8512,     9.2505,    17h20m
[  6300,  0.0000994]     0.7003,     0.8179,     0.8502,     9.5414,    17h26m
[  6400,  0.0001009]     0.7112,     0.8259,     0.8586,     8.4817,    17h20m
[  6500,  0.0001024]     0.7016,     0.8200,     0.8549,     9.2870,    17h19m
[  6600,  0.0001039]     0.7089,     0.8252,     0.8577,     8.9800,    17h16m
[  6700,  0.0001054]     0.7064,     0.8238,     0.8570,     8.1716,    17h17m
[  6800,  0.0001069]     0.7195,     0.8338,     0.8663,     7.5408,    17h19m
[  6900,  0.0001084]     0.7107,     0.8285,     0.8611,     7.4178,    17h15m
[  7000,  0.0001099]     0.7152,     0.8298,     0.8613,     8.4277,    17h13m
[  7100,  0.0001114]     0.7061,     0.8205,     0.8536,     9.3716,    17h11m
[  7200,  0.0001129]     0.7112,     0.8204,     0.8524,    10.7394,    17h12m
[  7300,  0.0001144]     0.6998,     0.8171,     0.8520,     8.6579,    17h14m
[  7400,  0.0001159]     0.7157,     0.8280,     0.8605,     7.9140,    17h15m
[  7500,  0.0001174]     0.7040,     0.8204,     0.8533,     9.3257,    17h15m
[  7600,  0.0001189]     0.6997,     0.8166,     0.8499,    10.4420,    17h09m
[  7700,  0.0001204]     0.7090,     0.8235,     0.8558,     9.3509,    17h10m
[  7800,  0.0001219]     0.7095,     0.8259,     0.8592,     8.7955,    17h08m
[  7900,  0.0001234]     0.6982,     0.8148,     0.8481,     9.6938,    17h10m
[  8000,  0.0001249]     0.7089,     0.8286,     0.8619,     8.3980,    17h07m
[  8100,  0.0001249]     0.6925,     0.8110,     0.8447,     9.9244,    17h09m
[  8200,  0.0001248]     0.7159,     0.8314,     0.8652,     7.3512,    17h09m
[  8300,  0.0001248]     0.7080,     0.8238,     0.8562,     8.6600,    17h06m
[  8400,  0.0001247]     0.7012,     0.8213,     0.8551,     9.7761,    17h05m
[  8500,  0.0001246]     0.7024,     0.8207,     0.8545,     9.1668,    17h05m
[  8600,  0.0001245]     0.7078,     0.8239,     0.8571,     8.7247,    17h06m
