 1 Validation Chairs EPE: 1.962348
 2 Validation Chairs EPE: 1.502940
 3 Validation Chairs EPE: 1.249895
 4 Validation Chairs EPE: 1.146507
 5 Validation Chairs EPE: 1.102306
 6 Validation Chairs EPE: 0.993892
 7 Validation Chairs EPE: 0.965136
 8 Validation Chairs EPE: 0.922252
 9 Validation Chairs EPE: 0.941883
10 Validation Chairs EPE: 0.889344
11 Validation Chairs EPE: 0.841520
12 Validation Chairs EPE: 0.814573

env CUDA_VISIBLE_DEVICES=2,3 python train.py --name setrans-chairs --stage chairs --validation chairs --output results/chairs/setrans --num_steps 120000 --lr 0.00025 --image_size 368 496 --wdecay 0.0001 --gpus 0 1 --batch_size 8 --val_freq 10000 --print_freq 100 --mixed_precision --setrans --rafter --corrnorm global --perturbpew

Time: 08301724
Args:
Namespace(add_noise=False, batch_size=8, clip=1.0, corr_norm_type='global', corr_radius=4, dropout=0.0, epsilon=1e-08, freeze_bn=False, gamma=0.8, gpus=[0, 1], image_size=[368, 496], inter_num_modes=1, inter_pos_embed_weight=0.5, inter_qk_have_bias=True, intra_num_modes=4, intra_pos_embed_weight=1.0, iters=12, lr=0.00025, mixed_precision=True, model_name='', name='setrans-chairs', num_heads=1, num_steps=120000, output='results/chairs/setrans', perturb_pos_embed_weight=True, pos_embed_type='lsinu', position_and_content=False, position_only=False, print_freq=100, rafter=True, restore_ckpt=None, setrans=True, small=False, stage='chairs', upsample_learn=False, val_freq=10000, validation=['chairs'], wdecay=0.0001)
Lookup radius: 4
inter-frame trans config:
{'feat_dim': 256, 'in_feat_dim': 256, 'pos_dim': 2, 'pos_embed_weight': 0.5, 'perturb_pew': True, 'num_modes': 1, 'tie_qk_scheme': 'shared', 'mid_type': 'shared', 'trans_output_type': 'private', 'act_fun': <function gelu at 0x7f252863bb80>, 'attn_clip': 100, 'attn_diag_cycles': 1000, 'base_initializer_range': 0.02, 'qk_have_bias': True, 'v_has_bias': False, 'query_idbias_scale': 10, 'feattrans_lin1_idbias_scale': 10, 'pool_modes_feat': 'softmax', 'hidden_dropout_prob': 0.1, 'attention_probs_dropout_prob': 0.2, 'pos_embed_type': 'lsinu', 'ablate_multihead': False, 'out_attn_probs_only': False, 'out_attn_scores_only': True, 'max_pos_size': 160}
inter-frame correlation block: in_feat_dim: 256, feat_dim: 256, modes: 1, qk_have_bias: True
Positional embedding weight perturbation: 0.1
Learnable Sinusoidal positional encoding
intra-frame attention: in_feat_dim: 128, feat_dim: 128, modes: 4, qk_have_bias: False
Positional embedding weight perturbation: 0.2
Learnable Sinusoidal positional encoding
intra-frame trans config:
{'feat_dim': 128, 'in_feat_dim': 128, 'pos_dim': 2, 'pos_embed_weight': 1.0, 'perturb_pew': True, 'num_modes': 4, 'tie_qk_scheme': None, 'mid_type': 'shared', 'trans_output_type': 'private', 'act_fun': <function gelu at 0x7f252863bb80>, 'attn_clip': 100, 'attn_diag_cycles': 1000, 'base_initializer_range': 0.02, 'qk_have_bias': False, 'v_has_bias': False, 'query_idbias_scale': 10, 'feattrans_lin1_idbias_scale': 10, 'pool_modes_feat': 'softmax', 'hidden_dropout_prob': 0.1, 'attention_probs_dropout_prob': 0.2, 'pos_embed_type': 'lsinu', 'ablate_multihead': False, 'out_attn_probs_only': True, 'out_attn_scores_only': False, 'has_FFN': False, 'has_input_skip': True}
Motion Aggregator: v_has_bias: False, has_FFN: False, has_input_skip: True
Parameter Count: 5914436
Training with 22232 image pairs
train.py:181: FutureWarning: Non-finite norm encountered in torch.nn.utils.clip_grad_norm_; continuing anyway. Note that the default behavior will change in a future release to error out if a non-finite total norm is encountered. At that point, setting error_if_nonfinite=false will be required to retain the old behavior.
  torch.nn.utils.clip_grad_norm_(model.parameters(), args.clip)
/home/li_shaohua/venv/lib/python3.8/site-packages/torch/optim/lr_scheduler.py:129: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
  warnings.warn("Detected call of `lr_scheduler.step()` before `optimizer.step()`. "
/home/li_shaohua/venv/lib/python3.8/site-packages/torch/optim/lr_scheduler.py:1289: UserWarning: To get the last learning rate computed by the scheduler, please use `get_last_lr()`.
  warnings.warn("To get the last learning rate computed by the scheduler, "
[   100,  0.0000140]     0.0865,     0.2930,     0.3999,    15.8537,    12h31m
[   200,  0.0000180]     0.0454,     0.2269,     0.3831,    16.1070,    11h08m
[   300,  0.0000220]     0.0453,     0.2290,     0.3932,    13.9821,    11h08m
[   400,  0.0000259]     0.0837,     0.3430,     0.5139,    11.4471,    11h06m
[   500,  0.0000299]     0.1145,     0.3871,     0.5310,    11.6732,    11h04m
[   600,  0.0000339]     0.1402,     0.4189,     0.5689,    11.1520,    11h03m
[   700,  0.0000379]     0.1507,     0.4384,     0.5849,    10.6607,    11h02m
[   800,  0.0000419]     0.1959,     0.5139,     0.6567,     9.1851,    11h02m
[   900,  0.0000459]     0.2282,     0.5376,     0.6636,     9.8099,    11h02m
[  1000,  0.0000499]     0.2530,     0.5920,     0.7113,     8.6181,    11h03m
[  1100,  0.0000539]     0.2994,     0.6137,     0.7197,     8.8673,    11h01m
[  1200,  0.0000579]     0.3337,     0.6338,     0.7348,     8.0137,    10h59m
[  1300,  0.0000619]     0.3572,     0.6465,     0.7382,     8.2287,    10h59m
[  1400,  0.0000659]     0.3936,     0.6682,     0.7546,     8.2840,    10h59m
[  1500,  0.0000699]     0.4016,     0.6764,     0.7597,     7.6797,    10h57m
[  1600,  0.0000739]     0.4573,     0.7160,     0.7918,     7.2485,    10h58m
[  1700,  0.0000779]     0.4507,     0.7087,     0.7844,     7.4339,    10h57m
[  1800,  0.0000819]     0.4792,     0.7248,     0.7972,     6.5881,    10h56m
[  1900,  0.0000859]     0.4839,     0.7260,     0.7976,     6.8825,    10h55m
[  2000,  0.0000899]     0.5099,     0.7411,     0.8084,     6.3843,    10h54m
[  2100,  0.0000939]     0.5290,     0.7587,     0.8213,     6.4269,    10h55m
[  2200,  0.0000979]     0.5321,     0.7499,     0.8124,     6.6525,    10h53m
[  2300,  0.0001019]     0.5423,     0.7656,     0.8294,     5.4690,    10h53m
[  2400,  0.0001059]     0.5512,     0.7710,     0.8317,     6.2852,    10h52m
[  2500,  0.0001099]     0.5777,     0.7797,     0.8366,     5.6588,    10h51m
[  2600,  0.0001139]     0.5708,     0.7796,     0.8372,     5.9843,    10h51m
[  2700,  0.0001179]     0.5878,     0.7912,     0.8468,     5.8742,    10h52m
[  2800,  0.0001219]     0.6020,     0.8006,     0.8525,     5.7168,    10h51m
[  2900,  0.0001259]     0.5775,     0.7763,     0.8319,     6.1153,    10h53m
[  3000,  0.0001299]     0.5952,     0.7909,     0.8441,     5.9390,    10h52m
[  3100,  0.0001339]     0.6253,     0.8096,     0.8595,     4.9592,    10h52m
[  3200,  0.0001379]     0.6119,     0.8043,     0.8567,     5.4413,    10h52m
[  3300,  0.0001419]     0.6096,     0.8058,     0.8575,     5.2527,    10h53m
[  3400,  0.0001459]     0.6179,     0.8043,     0.8548,     5.3848,    10h51m
[  3500,  0.0001499]     0.6167,     0.8018,     0.8532,     5.4417,    10h51m
[  3600,  0.0001539]     0.6402,     0.8199,     0.8685,     4.7760,    10h51m
[  3700,  0.0001579]     0.6381,     0.8148,     0.8633,     4.8897,    10h50m
[  3800,  0.0001619]     0.6229,     0.8100,     0.8607,     5.1522,    10h51m
[  3900,  0.0001659]     0.6322,     0.8170,     0.8653,     5.1351,    10h49m
[  4000,  0.0001699]     0.6552,     0.8313,     0.8766,     5.0616,    10h49m
[  4100,  0.0001739]     0.6516,     0.8265,     0.8718,     4.9731,    10h47m
[  4200,  0.0001778]     0.6349,     0.8145,     0.8626,     5.2242,    10h46m
[  4300,  0.0001818]     0.6629,     0.8383,     0.8829,     4.9382,    10h47m
[  4400,  0.0001858]     0.6391,     0.8264,     0.8735,     5.1341,    10h45m
[  4500,  0.0001898]     0.6600,     0.8327,     0.8769,     4.6911,    10h44m
[  4600,  0.0001938]     0.6623,     0.8326,     0.8756,     5.2165,    10h43m
[  4700,  0.0001978]     0.6586,     0.8268,     0.8699,     4.9442,    10h44m
[  4800,  0.0002018]     0.6543,     0.8275,     0.8725,     5.2344,    10h41m
[  4900,  0.0002058]     0.6812,     0.8481,     0.8891,     4.5328,    10h41m
[  5000,  0.0002098]     0.6722,     0.8387,     0.8805,     4.8232,    10h40m
[  5100,  0.0002138]     0.6755,     0.8446,     0.8870,     4.6276,    10h39m
[  5200,  0.0002178]     0.6708,     0.8404,     0.8839,     4.6571,    10h38m
[  5300,  0.0002218]     0.6753,     0.8438,     0.8850,     5.0435,    10h39m
