Validation Chairs EPE: 0.847778

python3.8 -u train.py --name rafter-chairs-nogma --stage chairs --validation chairs --gpus 0 1 --num_steps 120000 --batch_size 8 --lr 0.00025 --image_size 368 496 --wdecay 0.0001 --mixed_precision --rafter
Time: 08220050
Args:
Namespace(add_noise=False, batch_size=8, clip=1.0, corr_radius=4, dropout=0.0, epsilon=1e-08, freeze_bn=False, gamma=0.8, gpus=[0, 1], image_size=[368, 496], inter_pos_embed_weight=0.5, inter_qk_have_bias=True, intra_pos_embed_weight=1.0, iters=12, lr=0.00025, mixed_precision=True, model_name='', name='rafter-chairs-nogma', num_modes=4, num_steps=120000, output='checkpoints', print_freq=100, rafter=True, restore_ckpt=None, small=False, stage='chairs', upsample_learn=False, val_freq=10000, validation=['chairs'], wdecay=0.0001)
RAFTER lookup radius: 4
inter-frame trans config:
{'feat_dim': 256, 'in_feat_dim': 256, 'pos_dim': 2, 'pos_embed_weight': 0.5, 'num_modes': 4, 'tie_qk_scheme': 'shared', 'mid_type': 'shared', 'trans_output_type': 'private', 'act_fun': <function gelu at 0x7f2d15832e50>, 'attn_clip': 100, 'attn_diag_cycles': 1000, 'base_initializer_range': 0.02, 'qk_have_bias': True, 'v_has_bias': False, 'query_idbias_scale': 10, 'feattrans_lin1_idbias_scale': 10, 'pool_modes_feat': 'softmax', 'hidden_dropout_prob': 0.1, 'attention_probs_dropout_prob': 0.2, 'ablate_pos_embed_type': False, 'ablate_multihead': False, 'out_attn_probs_only': False, 'out_attn_scores_only': True, 'backbone_type': 'raft-basic', 'bb_stage_dims': [64, 64, 96, 128, 256]}
inter-frame correlation block: in_feat_dim: 256, feat_dim: 256, modes: 4, qk_have_bias: True
Learnable Sinusoidal positional encoding
Parameter Count: 5324098
Training with 22232 image pairs
train.py:179: FutureWarning: Non-finite norm encountered in torch.nn.utils.clip_grad_norm_; continuing anyway. Note that the default behavior will change in a future release to error out if a non-finite total norm is encountered. At that point, setting error_if_nonfinite=false will be required to retain the old behavior.
  torch.nn.utils.clip_grad_norm_(model.parameters(), args.clip)
/usr/local/lib/python3.8/dist-packages/torch/optim/lr_scheduler.py:129: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
  warnings.warn("Detected call of `lr_scheduler.step()` before `optimizer.step()`. "
/usr/local/lib/python3.8/dist-packages/torch/optim/lr_scheduler.py:1289: UserWarning: To get the last learning rate computed by the scheduler, please use `get_last_lr()`.
  warnings.warn("To get the last learning rate computed by the scheduler, "
[   100,  0.0000298]     0.0399,     0.2208,     0.3563,    16.6521,    13h56m52s
[   200,  0.0000498]     0.0772,     0.3071,     0.4385,    15.4753,    13h04m49s
[   300,  0.0000698]     0.0401,     0.2089,     0.3579,    15.4228,    13h07m49s
[   400,  0.0000898]     0.0447,     0.2527,     0.4300,    13.2966,    13h12m46s
[   500,  0.0001098]     0.0659,     0.3190,     0.4935,    12.3165,    13h22m59s
[   600,  0.0001298]     0.0890,     0.3667,     0.5301,    12.0363,    13h26m41s
[   700,  0.0001498]     0.1449,     0.4607,     0.6049,    10.6568,    13h38m54s
[   800,  0.0001698]     0.2371,     0.5557,     0.6760,     9.6170,    13h37m06s
[   900,  0.0001898]     0.2676,     0.5975,     0.7098,     9.3453,    13h40m11s
[  1000,  0.0002098]     0.3466,     0.6549,     0.7499,     8.2796,    13h39m45s
[  1100,  0.0002298]     0.3828,     0.6920,     0.7773,     7.7998,    13h42m32s
[  1200,  0.0002498]     0.4188,     0.6980,     0.7774,     7.6342,    13h46m51s
[  1300,  0.0002498]     0.4727,     0.7323,     0.8029,     7.1797,    13h39m51s
[  1400,  0.0002496]     0.4763,     0.7309,     0.8015,     7.3511,    13h42m43s
[  1500,  0.0002494]     0.5129,     0.7550,     0.8192,     6.7374,    13h40m25s
[  1600,  0.0002492]     0.5393,     0.7671,     0.8292,     6.3375,    13h43m23s
[  1700,  0.0002490]     0.5412,     0.7650,     0.8270,     6.7680,    13h38m51s
[  1800,  0.0002487]     0.5654,     0.7850,     0.8449,     5.6054,    13h38m56s
[  1900,  0.0002485]     0.5723,     0.7849,     0.8421,     5.6977,    13h39m01s
[  2000,  0.0002483]     0.6017,     0.8032,     0.8572,     5.1792,    13h39m22s
[  2100,  0.0002481]     0.5955,     0.7944,     0.8489,     5.5521,    13h37m25s
[  2200,  0.0002479]     0.5959,     0.7930,     0.8449,     6.4007,    13h33m50s
[  2300,  0.0002477]     0.6111,     0.8035,     0.8541,     5.5814,    13h36m25s
[  2400,  0.0002475]     0.6187,     0.8100,     0.8600,     5.6692,    13h36m00s
[  2500,  0.0002473]     0.6288,     0.8177,     0.8661,     5.4558,    13h28m23s
[  2600,  0.0002471]     0.6354,     0.8195,     0.8671,     5.2832,    13h31m50s
[  2700,  0.0002468]     0.6332,     0.8179,     0.8663,     5.2034,    13h32m09s
[  2800,  0.0002466]     0.6304,     0.8133,     0.8603,     5.3598,    13h29m50s
[  2900,  0.0002464]     0.6460,     0.8278,     0.8735,     5.1846,    13h27m32s
[  3000,  0.0002462]     0.6370,     0.8204,     0.8672,     5.3385,    13h29m20s
[  3100,  0.0002460]     0.6503,     0.8310,     0.8764,     4.7724,    13h28m26s
[  3200,  0.0002458]     0.6597,     0.8336,     0.8768,     4.8992,    13h23m30s
[  3300,  0.0002456]     0.6617,     0.8366,     0.8805,     4.4143,    13h30m41s
[  3400,  0.0002454]     0.6596,     0.8357,     0.8784,     4.6293,    13h26m25s
[  3500,  0.0002452]     0.6734,     0.8427,     0.8847,     4.4947,    13h25m07s
[  3600,  0.0002450]     0.6588,     0.8385,     0.8819,     4.5852,    13h20m52s
[  3700,  0.0002447]     0.6744,     0.8472,     0.8901,     3.8840,    13h25m28s
[  3800,  0.0002445]     0.6746,     0.8424,     0.8840,     4.5584,    13h23m31s
[  3900,  0.0002443]     0.6780,     0.8483,     0.8892,     4.2578,    13h21m10s
[  4000,  0.0002441]     0.6794,     0.8425,     0.8843,     4.4885,    13h18m27s
[  4100,  0.0002439]     0.6846,     0.8492,     0.8881,     4.8613,    13h25m41s
[  4200,  0.0002437]     0.6886,     0.8510,     0.8917,     4.4354,    13h21m03s
[  4300,  0.0002435]     0.6923,     0.8530,     0.8914,     4.4886,    13h19m13s
[  4400,  0.0002433]     0.6900,     0.8521,     0.8912,     4.0884,    13h17m02s
[  4500,  0.0002431]     0.6888,     0.8567,     0.8960,     3.9524,    13h23m42s
[  4600,  0.0002429]     0.6975,     0.8524,     0.8901,     4.7081,    13h18m44s
[  4700,  0.0002426]     0.6904,     0.8588,     0.8966,     4.1386,    13h18m27s
[  4800,  0.0002424]     0.6881,     0.8552,     0.8941,     4.0478,    13h15m11s
[  4900,  0.0002422]     0.6997,     0.8620,     0.8997,     4.0502,    13h18m02s
[  5000,  0.0002420]     0.6985,     0.8581,     0.8958,     3.9789,    13h16m30s
[  5100,  0.0002418]     0.7112,     0.8690,     0.9051,     3.5874,    13h11m17s
[  5200,  0.0002416]     0.7008,     0.8600,     0.8970,     4.3111,    13h13m47s
[  5300,  0.0002414]     0.7021,     0.8617,     0.8981,     3.9206,    13h17m30s
[  5400,  0.0002412]     0.7057,     0.8674,     0.9045,     3.8078,    13h12m23s
[  5500,  0.0002410]     0.7041,     0.8681,     0.9047,     3.8572,    13h11m50s
[  5600,  0.0002408]     0.7202,     0.8686,     0.9028,     4.2573,    13h07m19s
[  5700,  0.0002405]     0.7034,     0.8667,     0.9027,     3.9604,    13h11m31s
[  5800,  0.0002403]     0.7090,     0.8676,     0.9029,     4.1326,    13h10m00s
[  5900,  0.0002401]     0.7023,     0.8637,     0.9009,     3.8016,    13h07m26s
[  6000,  0.0002399]     0.7170,     0.8713,     0.9054,     3.7970,    13h08m41s
[  6100,  0.0002397]     0.7060,     0.8686,     0.9029,     3.7900,    13h07m27s
[  6200,  0.0002395]     0.7197,     0.8719,     0.9059,     3.7481,    13h07m59s
[  6300,  0.0002393]     0.7159,     0.8727,     0.9066,     3.8800,    13h04m56s
[  6400,  0.0002391]     0.7231,     0.8717,     0.9052,     3.6368,    13h01m40s
[  6500,  0.0002389]     0.7279,     0.8816,     0.9145,     3.4959,    13h08m46s
[  6600,  0.0002386]     0.7286,     0.8796,     0.9137,     3.3226,    13h01m02s
[  6700,  0.0002384]     0.7259,     0.8764,     0.9080,     4.1787,    13h07m15s
[  6800,  0.0002382]     0.7359,     0.8875,     0.9188,     3.1973,    13h00m25s
[  6900,  0.0002380]     0.7148,     0.8741,     0.9083,     3.5019,    13h05m24s
[  7000,  0.0002378]     0.7282,     0.8815,     0.9153,     3.3475,    13h00m13s
[  7100,  0.0002376]     0.7358,     0.8860,     0.9174,     3.3402,    13h01m07s
[  7200,  0.0002374]     0.7292,     0.8824,     0.9153,     3.0960,    12h57m48s
[  7300,  0.0002372]     0.7265,     0.8791,     0.9109,     3.6601,    13h00m11s
[  7400,  0.0002370]     0.7290,     0.8784,     0.9107,     3.6577,    12h59m56s
[  7500,  0.0002368]     0.7298,     0.8841,     0.9158,     3.6981,    12h56m40s
[  7600,  0.0002365]     0.7422,     0.8917,     0.9220,     2.8471,    12h57m10s
[  7700,  0.0002363]     0.7354,     0.8855,     0.9178,     3.3491,    12h54m10s
[  7800,  0.0002361]     0.7366,     0.8867,     0.9181,     3.2343,    12h58m55s
[  7900,  0.0002359]     0.7322,     0.8833,     0.9148,     3.4851,    12h52m08s
[  8000,  0.0002357]     0.7307,     0.8834,     0.9154,     3.5644,    12h52m39s
[  8100,  0.0002355]     0.7177,     0.8734,     0.9064,     3.9732,    12h51m54s
[  8200,  0.0002353]     0.7481,     0.8939,     0.9230,     3.0976,    12h51m16s
[  8300,  0.0002351]     0.7281,     0.8787,     0.9110,     3.5253,    12h53m03s
[  8400,  0.0002349]     0.7435,     0.8939,     0.9250,     2.7612,    12h50m05s
[  8500,  0.0002347]     0.7495,     0.8944,     0.9241,     2.8954,    12h52m08s
[  8600,  0.0002344]     0.7371,     0.8891,     0.9207,     3.0321,    12h48m35s
[  8700,  0.0002342]     0.7404,     0.8891,     0.9195,     3.2122,    12h48m30s
[  8800,  0.0002340]     0.7271,     0.8807,     0.9129,     3.4790,    12h49m50s
[  8900,  0.0002338]     0.7413,     0.8905,     0.9212,     3.0156,    12h50m18s
[  9000,  0.0002336]     0.7408,     0.8924,     0.9222,     3.1642,    12h47m59s
[  9100,  0.0002334]     0.7305,     0.8837,     0.9158,     3.4285,    12h46m10s
[  9200,  0.0002332]     0.7419,     0.8910,     0.9208,     3.2546,    12h48m45s
[  9300,  0.0002330]     0.7633,     0.9017,     0.9295,     2.8292,    12h45m16s
[  9400,  0.0002328]     0.7558,     0.8997,     0.9281,     2.6726,    12h45m39s
