 1 Iter 0, Valid (clean) EPE: 1.050766, 1px: 0.908528, 3px: 0.961411, 5px: 0.973287
 1 Iter 0, Valid (final) EPE: 1.794304, 1px: 0.867805, 3px: 0.932239, 5px: 0.951429
 2 Iter 0, Valid (clean) EPE: 0.973811, 1px: 0.912845, 3px: 0.963797, 5px: 0.975196
 2 Iter 0, Valid (final) EPE: 1.701124, 1px: 0.872298, 3px: 0.936499, 5px: 0.954502
 3 Iter 0, Valid (clean) EPE: 0.853958, 1px: 0.917335, 3px: 0.965966, 5px: 0.977250
 3 Iter 0, Valid (final) EPE: 1.539728, 1px: 0.877648, 3px: 0.939855, 5px: 0.957907
 4 Iter 0, Valid (clean) EPE: 0.868076, 1px: 0.918634, 3px: 0.966553, 5px: 0.977411
 4 Iter 0, Valid (final) EPE: 1.455896, 1px: 0.878247, 3px: 0.940434, 5px: 0.958632
 5 Iter 0, Valid (clean) EPE: 0.763191, 1px: 0.921118, 3px: 0.967853, 5px: 0.978676
 5 Iter 0, Valid (final) EPE: 1.323779, 1px: 0.883561, 3px: 0.944119, 5px: 0.961160
 6 Iter 0, Valid (clean) EPE: 0.727674, 1px: 0.921590, 3px: 0.968203, 5px: 0.978779
 6 Iter 0, Valid (final) EPE: 1.335593, 1px: 0.883658, 3px: 0.944607, 5px: 0.961838
 7 Iter 0, Valid (clean) EPE: 0.728330, 1px: 0.923299, 3px: 0.968556, 5px: 0.978902
 7 Iter 0, Valid (final) EPE: 1.245573, 1px: 0.885345, 3px: 0.945407, 5px: 0.962472
 8 Iter 0, Valid (clean) EPE: 0.699176, 1px: 0.924382, 3px: 0.969487, 5px: 0.979873
 8 Iter 0, Valid (final) EPE: 1.208962, 1px: 0.886401, 3px: 0.946302, 5px: 0.963366
 9 Iter 0, Valid (clean) EPE: 0.649465, 1px: 0.925667, 3px: 0.970343, 5px: 0.980521
 9 Iter 0, Valid (final) EPE: 1.161875, 1px: 0.888072, 3px: 0.947315, 5px: 0.964022
10 Iter 0, Valid (clean) EPE: 0.637841, 1px: 0.926908, 3px: 0.970813, 5px: 0.980898
10 Iter 0, Valid (final) EPE: 1.114646, 1px: 0.889340, 3px: 0.948190, 5px: 0.965231
11 Iter 0, Valid (clean) EPE: 0.628630, 1px: 0.927545, 3px: 0.970693, 5px: 0.980791
11 Iter 0, Valid (final) EPE: 1.104008, 1px: 0.891254, 3px: 0.949229, 5px: 0.965557
12 Iter 0, Valid (clean) EPE: 0.616718, 1px: 0.927966, 3px: 0.971143, 5px: 0.981255
12 Iter 0, Valid (final) EPE: 1.088529, 1px: 0.891742, 3px: 0.949729, 5px: 0.965914

python train.py --name craft-sintel --stage sintel --validation sintel --output results/sintel/craft --restore_ckpt results/things/craft/craft-things.pth --num_steps 120000 --lr 0.000125 --image_size 368 768 --wdecay 0.00001 --gamma 0.85 --gpus 0 1 --batch_size 6 --val_freq 10000 --print_freq 100 --mixed_precision --setrans --corrnorm global --f2trans --craft
Time: 11021235
Args:
Namespace(add_noise=False, batch_size=6, clip=1.0, corr_norm_type='global', corr_radius=4, craft=True, dropout=0.0, epsilon=1e-08, f2_pos_code_weight=0.5, f2trans=True, freeze_bn=False, gamma=0.85, gpus=[0, 1], image_size=[368, 768], inter_num_modes=4, inter_pos_code_type='bias', inter_pos_code_weight=0.5, inter_qk_have_bias=True, intra_num_modes=4, intra_pos_code_type='bias', intra_pos_code_weight=1.0, iters=12, load_optimizer_state=False, load_scheduler_state=False, lr=0.000125, mixed_precision=True, model_name='', name='craft-sintel', num_heads=1, num_steps=120000, output='results/sintel/craft', pos_bias_radius=7, position_and_content=False, position_only=False, print_freq=100, restore_ckpt='results/things/craft/craft-things.pth', setrans=True, small=False, stage='sintel', upsample_learn=False, use_autoflow=False, val_freq=10000, validation=['sintel'], wdecay=1e-05)
Lookup radius: 4
Inter-frame trans config:
{'feat_dim': 256, 'in_feat_dim': 256, 'pos_dim': 2, 'pos_code_weight': 0.5, 'num_modes': 4, 'tie_qk_scheme': 'shared', 'mid_type': 'shared', 'trans_output_type': 'private', 'act_fun': <function gelu at 0x7f5603d07430>, 'attn_clip': 100, 'attn_diag_cycles': 1000, 'base_initializer_range': 0.02, 'qk_have_bias': True, 'v_has_bias': False, 'query_idbias_scale': 10, 'feattrans_lin1_idbias_scale': 10, 'pool_modes_feat': 'softmax', 'hidden_dropout_prob': 0.1, 'attention_probs_dropout_prob': 0.2, 'pos_code_type': 'bias', 'ablate_multihead': False, 'out_attn_probs_only': False, 'out_attn_scores_only': True, 'pos_bias_radius': 7, 'max_pos_size': 160}
Inter-frame correlation block: in_feat_dim: 256, feat_dim: 256, modes: 4, qk_have_bias: True
Positional biases weight: 0.5
Sliding-window Positional Biases, r: 7, max size: (200, 200)
F2 transformer-out_trans: v_has_bias: False, has_FFN: False, has_input_skip: False
F2 transformer: in_feat_dim: 128, feat_dim: 128, modes: 4, qk_have_bias: False
Positional biases weight: 0.5
Sliding-window Positional Biases, r: 7, max size: (200, 200)
F2-trans config:
{'feat_dim': 128, 'in_feat_dim': 128, 'pos_dim': 2, 'pos_code_weight': 0.5, 'num_modes': 4, 'tie_qk_scheme': None, 'mid_type': 'shared', 'trans_output_type': 'private', 'act_fun': <function gelu at 0x7f5603d07430>, 'attn_clip': 100, 'attn_diag_cycles': 1000, 'base_initializer_range': 0.02, 'qk_have_bias': False, 'v_has_bias': False, 'query_idbias_scale': 10, 'feattrans_lin1_idbias_scale': 10, 'pool_modes_feat': 'softmax', 'hidden_dropout_prob': 0.1, 'attention_probs_dropout_prob': 0.2, 'pos_code_type': 'bias', 'ablate_multihead': False, 'out_attn_probs_only': False, 'out_attn_scores_only': False, 'pos_bias_radius': 7, 'has_FFN': False, 'has_input_skip': False}
Intra-frame attention: in_feat_dim: 128, feat_dim: 128, modes: 4, qk_have_bias: False
Positional biases weight: 1.0
Sliding-window Positional Biases, r: 7, max size: (200, 200)
Intra-frame trans config:
{'feat_dim': 128, 'in_feat_dim': 128, 'pos_dim': 2, 'pos_code_weight': 1.0, 'num_modes': 4, 'tie_qk_scheme': None, 'mid_type': 'shared', 'trans_output_type': 'private', 'act_fun': <function gelu at 0x7f5603d07430>, 'attn_clip': 100, 'attn_diag_cycles': 1000, 'base_initializer_range': 0.02, 'qk_have_bias': False, 'v_has_bias': False, 'query_idbias_scale': 10, 'feattrans_lin1_idbias_scale': 10, 'pool_modes_feat': 'softmax', 'hidden_dropout_prob': 0.1, 'attention_probs_dropout_prob': 0.2, 'pos_code_type': 'bias', 'ablate_multihead': False, 'out_attn_probs_only': True, 'out_attn_scores_only': False, 'pos_bias_radius': 7, 'has_FFN': False, 'has_input_skip': True}
Motion Aggregator: v_has_bias: False, has_FFN: False, has_input_skip: True
Parameter Count: 6012394
Training with 293737 image pairs
Model checkpoint loaded from results/things/craft/craft-things.pth: <All keys matched successfully>.
Optimizer state NOT loaded.
Scheduler state NOT loaded.
Logger NOT loaded.
train.py:227: FutureWarning: Non-finite norm encountered in torch.nn.utils.clip_grad_norm_; continuing anyway. Note that the default behavior will change in a future release to error out if a non-finite total norm is encountered. At that point, setting error_if_nonfinite=false will be required to retain the old behavior.
  torch.nn.utils.clip_grad_norm_(model.parameters(), args.clip)
/home/li_shaohua/venv/lib/python3.8/site-packages/torch/optim/lr_scheduler.py:129: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
  warnings.warn("Detected call of `lr_scheduler.step()` before `optimizer.step()`. "
/home/li_shaohua/venv/lib/python3.8/site-packages/torch/optim/lr_scheduler.py:1289: UserWarning: To get the last learning rate computed by the scheduler, please use `get_last_lr()`.
  warnings.warn("To get the last learning rate computed by the scheduler, "
[   100,  0.0000070]     0.8130,     0.9030,     0.9282,     2.6004,    19h58m
[   200,  0.0000090]     0.8369,     0.9176,     0.9373,     2.6757,    18h43m
[   300,  0.0000110]     0.8184,     0.9065,     0.9299,     2.8749,    18h40m
[   400,  0.0000130]     0.8295,     0.9188,     0.9401,     2.5543,    18h41m
[   500,  0.0000150]     0.8202,     0.9064,     0.9288,     3.2209,    18h41m
[   600,  0.0000170]     0.8329,     0.9111,     0.9321,     3.1119,    18h40m
[   700,  0.0000190]     0.8197,     0.9052,     0.9281,     2.8911,    18h40m
[   800,  0.0000210]     0.8201,     0.9082,     0.9320,     2.8958,    18h37m
[   900,  0.0000230]     0.8275,     0.9123,     0.9342,     3.2111,    18h37m
[  1000,  0.0000250]     0.8299,     0.9184,     0.9401,     2.4438,    18h35m
[  1100,  0.0000270]     0.8349,     0.9186,     0.9391,     2.9010,    18h33m
[  1200,  0.0000290]     0.8166,     0.9052,     0.9307,     3.1177,    18h33m
[  1300,  0.0000310]     0.8350,     0.9167,     0.9377,     3.0993,    18h35m
[  1400,  0.0000330]     0.8426,     0.9237,     0.9443,     2.2488,    18h30m
[  1500,  0.0000350]     0.8243,     0.9112,     0.9334,     2.5422,    18h31m
[  1600,  0.0000370]     0.8337,     0.9146,     0.9343,     3.2362,    18h30m
[  1700,  0.0000390]     0.8368,     0.9160,     0.9376,     2.8033,    18h30m
[  1800,  0.0000410]     0.8277,     0.9124,     0.9335,     2.6104,    18h27m
[  1900,  0.0000430]     0.8307,     0.9174,     0.9387,     2.5344,    18h27m
[  2000,  0.0000450]     0.8342,     0.9166,     0.9373,     2.7327,    18h27m
[  2100,  0.0000470]     0.8308,     0.9152,     0.9367,     2.5292,    18h25m
[  2200,  0.0000490]     0.8267,     0.9093,     0.9317,     3.1054,    18h24m
[  2300,  0.0000509]     0.8351,     0.9189,     0.9411,     2.6939,    18h24m
[  2400,  0.0000529]     0.8314,     0.9167,     0.9369,     3.3231,    18h23m
[  2500,  0.0000549]     0.8231,     0.9126,     0.9363,     2.6389,    18h21m
[  2600,  0.0000569]     0.8249,     0.9087,     0.9315,     3.5751,    18h20m
[  2700,  0.0000589]     0.8175,     0.9061,     0.9304,     2.9236,    18h20m
[  2800,  0.0000609]     0.8285,     0.9142,     0.9368,     2.8475,    18h18m
[  2900,  0.0000629]     0.8446,     0.9264,     0.9467,     2.3828,    18h17m
[  3000,  0.0000649]     0.8368,     0.9187,     0.9397,     2.5512,    18h17m
[  3100,  0.0000669]     0.8375,     0.9184,     0.9383,     2.7419,    18h15m
[  3200,  0.0000689]     0.8543,     0.9288,     0.9483,     2.4814,    18h14m
[  3300,  0.0000709]     0.8344,     0.9114,     0.9320,     3.5437,    18h13m
[  3400,  0.0000729]     0.8353,     0.9195,     0.9405,     2.2742,    18h13m
[  3500,  0.0000749]     0.8242,     0.9090,     0.9310,     2.9917,    18h11m
[  3600,  0.0000769]     0.8193,     0.9056,     0.9295,     2.8295,    18h10m
[  3700,  0.0000789]     0.8390,     0.9185,     0.9389,     3.0486,    18h10m
[  3800,  0.0000809]     0.8260,     0.9079,     0.9289,     3.1634,    18h09m
[  3900,  0.0000829]     0.8385,     0.9200,     0.9399,     3.3056,    18h07m
[  4000,  0.0000849]     0.8289,     0.9115,     0.9330,     3.5049,    18h06m
[  4100,  0.0000869]     0.8271,     0.9098,     0.9314,     3.0491,    18h06m
[  4200,  0.0000889]     0.8221,     0.9098,     0.9329,     2.9112,    18h03m
[  4300,  0.0000909]     0.8396,     0.9191,     0.9393,     2.8334,    18h04m
[  4400,  0.0000929]     0.8297,     0.9086,     0.9299,     3.1112,    18h02m
[  4500,  0.0000949]     0.8407,     0.9184,     0.9395,     2.5721,    18h01m
[  4600,  0.0000969]     0.8318,     0.9166,     0.9385,     2.4077,    18h01m
[  4700,  0.0000989]     0.8423,     0.9209,     0.9413,     2.3356,    18h00m
[  4800,  0.0001009]     0.8373,     0.9210,     0.9428,     2.6959,    17h59m
[  4900,  0.0001029]     0.8330,     0.9139,     0.9342,     3.5518,    17h58m
[  5000,  0.0001049]     0.8297,     0.9084,     0.9282,     3.5458,    17h57m
[  5100,  0.0001069]     0.8422,     0.9217,     0.9417,     2.3812,    17h56m
[  5200,  0.0001089]     0.8377,     0.9171,     0.9376,     2.7402,    17h56m
[  5300,  0.0001109]     0.8374,     0.9197,     0.9413,     2.5642,    17h55m
[  5400,  0.0001129]     0.8295,     0.9072,     0.9276,     4.1348,    17h54m
[  5500,  0.0001149]     0.8333,     0.9186,     0.9393,     2.4064,    17h51m
[  5600,  0.0001169]     0.8372,     0.9195,     0.9398,     2.6071,    17h52m
[  5700,  0.0001189]     0.8250,     0.9096,     0.9320,     4.0134,    17h51m
[  5800,  0.0001209]     0.8277,     0.9160,     0.9379,     2.6786,    17h51m
[  5900,  0.0001229]     0.8220,     0.9115,     0.9338,     3.0800,    17h49m
[  6000,  0.0001249]     0.8236,     0.9153,     0.9369,     2.8038,    17h48m
[  6100,  0.0001249]     0.8214,     0.9063,     0.9290,     3.7199,    17h46m
[  6200,  0.0001248]     0.8307,     0.9147,     0.9378,     2.6524,    17h46m
[  6300,  0.0001247]     0.8411,     0.9219,     0.9418,     2.4320,    17h46m
[  6400,  0.0001246]     0.8373,     0.9191,     0.9396,     3.3009,    17h45m
[  6500,  0.0001245]     0.8315,     0.9113,     0.9317,     3.0134,    17h43m
[  6600,  0.0001243]     0.8381,     0.9174,     0.9379,     2.6613,    17h42m
[  6700,  0.0001242]     0.8280,     0.9108,     0.9329,     2.7504,    17h41m
[  6800,  0.0001241]     0.8424,     0.9205,     0.9408,     2.8136,    17h40m
[  6900,  0.0001240]     0.8225,     0.9114,     0.9337,     3.0628,    17h41m
[  7000,  0.0001239]     0.8276,     0.9113,     0.9342,     3.1471,    17h39m
[  7100,  0.0001238]     0.8208,     0.9125,     0.9367,     2.7088,    17h38m
[  7200,  0.0001237]     0.8381,     0.9154,     0.9363,     3.3850,    17h37m
[  7300,  0.0001236]     0.8369,     0.9193,     0.9397,     2.3605,    17h35m
[  7400,  0.0001235]     0.8319,     0.9116,     0.9328,     3.4594,    17h36m
[  7500,  0.0001234]     0.8196,     0.9116,     0.9352,     2.9184,    17h34m
[  7600,  0.0001233]     0.8256,     0.9113,     0.9334,     3.7410,    17h33m
[  7700,  0.0001231]     0.8237,     0.9102,     0.9319,     3.2539,    17h32m
[  7800,  0.0001230]     0.8325,     0.9169,     0.9383,     2.6620,    17h32m
[  7900,  0.0001229]     0.8310,     0.9139,     0.9352,     3.1696,    17h31m
[  8000,  0.0001228]     0.8283,     0.9126,     0.9349,     3.1054,    17h29m
[  8100,  0.0001227]     0.8188,     0.9032,     0.9269,     3.3026,    17h28m
[  8200,  0.0001226]     0.8395,     0.9179,     0.9385,     3.2950,    17h27m
[  8300,  0.0001225]     0.8375,     0.9171,     0.9381,     2.6274,    17h26m
[  8400,  0.0001224]     0.8359,     0.9210,     0.9424,     2.2614,    17h24m
[  8500,  0.0001223]     0.8247,     0.9066,     0.9281,     3.4295,    17h24m
[  8600,  0.0001222]     0.8518,     0.9274,     0.9463,     2.2644,    17h23m
[  8700,  0.0001220]     0.8463,     0.9225,     0.9410,     3.0688,    17h23m
[  8800,  0.0001219]     0.8410,     0.9194,     0.9407,     2.4871,    17h21m
[  8900,  0.0001218]     0.8346,     0.9158,     0.9362,     3.1308,    17h21m
[  9000,  0.0001217]     0.8290,     0.9109,     0.9341,     2.6089,    17h19m
[  9100,  0.0001216]     0.8370,     0.9199,     0.9413,     2.7055,    17h19m
[  9200,  0.0001215]     0.8462,     0.9243,     0.9446,     2.3321,    17h17m
[  9300,  0.0001214]     0.8349,     0.9154,     0.9374,     2.7491,    17h17m
[  9400,  0.0001213]     0.8412,     0.9218,     0.9424,     2.6311,    17h17m
[  9500,  0.0001212]     0.8461,     0.9228,     0.9424,     2.8114,    17h15m
[  9600,  0.0001211]     0.8331,     0.9154,     0.9358,     2.9108,    17h15m
[  9700,  0.0001210]     0.8505,     0.9259,     0.9445,     3.0361,    17h13m
[  9800,  0.0001208]     0.8283,     0.9104,     0.9315,     3.3166,    17h13m
[  9900,  0.0001207]     0.8339,     0.9162,     0.9372,     3.0535,    17h11m
[ 10000,  0.0001206]     0.8385,     0.9195,     0.9394,     2.5797,    17h10m
results/sintel/craft/10000_craft-sintel.pth saved
Dataset length 1041
100/1041: EPE 1.7098, 1px 0.8741, 3px 0.9303, 5px 0.9477, 0-3 0.14, 3-5 0.44, 5-10 0.69, 10-inf 5.91
200/1041: EPE 0.3971, 1px 0.9369, 3px 0.9795, 5px 0.9884, 0-3 0.12, 3-5 0.20, 5-10 0.25, 10-inf 0.95
300/1041: EPE 0.6467, 1px 0.9417, 3px 0.9756, 5px 0.9833, 0-3 0.15, 3-5 0.22, 5-10 0.49, 10-inf 1.95
