 1 Valid (clean) EPE: 0.982895, 1px: 0.911727, 3px: 0.963242, 5px: 0.974686
 1 Valid (final) EPE: 1.734566, 1px: 0.869697, 3px: 0.934589, 5px: 0.953352
 2 Valid (clean) EPE: 0.884374, 1px: 0.915103, 3px: 0.965167, 5px: 0.976479
 2 Valid (final) EPE: 1.599414, 1px: 0.875377, 3px: 0.938259, 5px: 0.956200
 3 Valid (clean) EPE: 0.806422, 1px: 0.917904, 3px: 0.966874, 5px: 0.977887
 3 Valid (final) EPE: 1.469213, 1px: 0.878216, 3px: 0.941556, 5px: 0.959614
 4 Valid (clean) EPE: 0.779428, 1px: 0.919430, 3px: 0.967469, 5px: 0.978417
 4 Valid (final) EPE: 1.409599, 1px: 0.880554, 3px: 0.942324, 5px: 0.959885
 5 Valid (clean) EPE: 0.703776, 1px: 0.923040, 3px: 0.968680, 5px: 0.979298
 5 Valid (final) EPE: 1.319983, 1px: 0.884159, 3px: 0.944294, 5px: 0.961379
 6 Valid (clean) EPE: 0.725483, 1px: 0.923922, 3px: 0.969146, 5px: 0.979479
 6 Valid (final) EPE: 1.286112, 1px: 0.886414, 3px: 0.946583, 5px: 0.963427
 7 Valid (clean) EPE: 0.686134, 1px: 0.925522, 3px: 0.970366, 5px: 0.980664
 7 Valid (final) EPE: 1.224293, 1px: 0.887387, 3px: 0.946283, 5px: 0.963344
 8 Valid (clean) EPE: 0.640482, 1px: 0.926703, 3px: 0.970859, 5px: 0.980928
 8 Valid (final) EPE: 1.124448, 1px: 0.888774, 3px: 0.947437, 5px: 0.964394
 9 Valid (clean) EPE: 0.639908, 1px: 0.927441, 3px: 0.970876, 5px: 0.980874
 9 Valid (final) EPE: 1.123054, 1px: 0.890377, 3px: 0.949016, 5px: 0.965644
10 Valid (clean) EPE: 0.617035, 1px: 0.929050, 3px: 0.971942, 5px: 0.981624
10 Valid (final) EPE: 1.100760, 1px: 0.892198, 3px: 0.950361, 5px: 0.966416
11 Valid (clean) EPE: 0.600094, 1px: 0.929819, 3px: 0.972328, 5px: 0.982049
11 Valid (final) EPE: 1.066621, 1px: 0.892303, 3px: 0.949967, 5px: 0.966527
12 Valid (clean) EPE: 0.592420, 1px: 0.930409, 3px: 0.972570, 5px: 0.982229
12 Valid (final) EPE: 1.028559, 1px: 0.893630, 3px: 0.951025, 5px: 0.967272

Things:
Iter 11, Valid (frames_cleanpass) EPE: 3.064971, 1px: 0.824014, 3px: 0.903876, 5px: 0.926293
Iter 11, Valid (frames_finalpass) EPE: 2.900488, 1px: 0.820906, 3px: 0.903065, 5px: 0.925822

env CUDA_VISIBLE_DEVICES=2,3 python train.py --name craft3-sintel --stage sintel --validation sintel --output results/sintel/craft3 --restore_ckpt results/things/craft3/craft3-things.pth --num_steps 120000 --lr 0.000125 --image_size 368 768 --wdecay 0.00001 --gamma 0.85 --gpus 0 1 --batch_size 6 --val_freq 10000 --print_freq 100 --mixed_precision --setrans --corrnorm global --f2trans --craft
Time: 10131933
Args:
Namespace(add_noise=False, batch_size=6, clip=1.0, corr_norm_type='global', corr_radius=4, craft=True, dropout=0.0, epsilon=1e-08, f2_pos_code_weight=0.5, f2trans=True, freeze_bn=False, gamma=0.85, gpus=[0, 1], image_size=[368, 768], inter_num_modes=4, inter_pos_code_type='bias', inter_pos_code_weight=0.5, inter_qk_have_bias=True, intra_num_modes=4, intra_pos_code_type='bias', intra_pos_code_weight=1.0, iters=12, load_optimizer_state=False, load_scheduler_state=False, lr=0.000125, mixed_precision=True, model_name='', name='craft3-sintel', num_heads=1, num_steps=120000, output='results/sintel/craft3', perturb_inter_posw_range=0.0, perturb_intra_posw_range=0.0, pos_bias_radius=7, position_and_content=False, position_only=False, print_freq=100, restore_ckpt='results/things/craft3/craft3-things.pth', setrans=True, small=False, stage='sintel', upsample_learn=False, val_freq=10000, validation=['sintel'], wdecay=1e-05)
Lookup radius: 4
Inter-frame trans config:
{'feat_dim': 256, 'in_feat_dim': 256, 'pos_dim': 2, 'pos_code_weight': 0.5, 'perturb_posw_range': 0.0, 'num_modes': 4, 'tie_qk_scheme': 'shared', 'mid_type': 'shared', 'trans_output_type': 'private', 'act_fun': <function gelu at 0x7f7697819e50>, 'attn_clip': 100, 'attn_diag_cycles': 1000, 'base_initializer_range': 0.02, 'qk_have_bias': True, 'v_has_bias': False, 'query_idbias_scale': 10, 'feattrans_lin1_idbias_scale': 10, 'pool_modes_feat': 'softmax', 'hidden_dropout_prob': 0.1, 'attention_probs_dropout_prob': 0.2, 'pos_code_type': 'bias', 'ablate_multihead': False, 'out_attn_probs_only': False, 'out_attn_scores_only': True, 'pos_bias_radius': 7, 'max_pos_size': 160}
Inter-frame correlation block: in_feat_dim: 256, feat_dim: 256, modes: 4, qk_have_bias: True
Positional biases weight perturbation: 0.0/0.5
Sliding-window Positional Biases, r: 7, max size: (200, 200)
F2 transformer-out_trans: v_has_bias: False, has_FFN: False, has_input_skip: True
F2 transformer: in_feat_dim: 256, feat_dim: 256, modes: 4, qk_have_bias: False
Positional biases weight perturbation: 0.0/0.5
Sliding-window Positional Biases, r: 7, max size: (200, 200)
F2-trans config:
{'feat_dim': 256, 'in_feat_dim': 256, 'pos_dim': 2, 'pos_code_weight': 0.5, 'perturb_posw_range': 0.0, 'num_modes': 4, 'tie_qk_scheme': None, 'mid_type': 'shared', 'trans_output_type': 'private', 'act_fun': <function gelu at 0x7f7697819e50>, 'attn_clip': 100, 'attn_diag_cycles': 1000, 'base_initializer_range': 0.02, 'qk_have_bias': False, 'v_has_bias': False, 'query_idbias_scale': 10, 'feattrans_lin1_idbias_scale': 10, 'pool_modes_feat': 'softmax', 'hidden_dropout_prob': 0.1, 'attention_probs_dropout_prob': 0.2, 'pos_code_type': 'bias', 'ablate_multihead': False, 'out_attn_probs_only': False, 'out_attn_scores_only': False, 'pos_bias_radius': 7, 'has_FFN': False, 'has_input_skip': True}
Intra-frame attention: in_feat_dim: 128, feat_dim: 128, modes: 4, qk_have_bias: False
Positional biases weight perturbation: 0.0/1.0
Sliding-window Positional Biases, r: 7, max size: (200, 200)
Intra-frame trans config:
{'feat_dim': 128, 'in_feat_dim': 128, 'pos_dim': 2, 'pos_code_weight': 1.0, 'perturb_posw_range': 0.0, 'num_modes': 4, 'tie_qk_scheme': None, 'mid_type': 'shared', 'trans_output_type': 'private', 'act_fun': <function gelu at 0x7f7697819e50>, 'attn_clip': 100, 'attn_diag_cycles': 1000, 'base_initializer_range': 0.02, 'qk_have_bias': False, 'v_has_bias': False, 'query_idbias_scale': 10, 'feattrans_lin1_idbias_scale': 10, 'pool_modes_feat': 'softmax', 'hidden_dropout_prob': 0.1, 'attention_probs_dropout_prob': 0.2, 'pos_code_type': 'bias', 'ablate_multihead': False, 'out_attn_probs_only': True, 'out_attn_scores_only': False, 'pos_bias_radius': 7, 'has_FFN': False, 'has_input_skip': True}
Motion Aggregator: v_has_bias: False, has_FFN: False, has_input_skip: True
Parameter Count: 6602347
Training with 293737 image pairs
Model checkpoint loaded from results/things/craft3/craft3-things.pth: <All keys matched successfully>.
Optimizer state NOT loaded.
Scheduler state NOT loaded.
Logger NOT loaded.
train.py:227: FutureWarning: Non-finite norm encountered in torch.nn.utils.clip_grad_norm_; continuing anyway. Note that the default behavior will change in a future release to error out if a non-finite total norm is encountered. At that point, setting error_if_nonfinite=false will be required to retain the old behavior.
  torch.nn.utils.clip_grad_norm_(model.parameters(), args.clip)
/home/li_shaohua/venv/lib/python3.8/site-packages/torch/optim/lr_scheduler.py:129: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
  warnings.warn("Detected call of `lr_scheduler.step()` before `optimizer.step()`. "
/home/li_shaohua/venv/lib/python3.8/site-packages/torch/optim/lr_scheduler.py:1289: UserWarning: To get the last learning rate computed by the scheduler, please use `get_last_lr()`.
  warnings.warn("To get the last learning rate computed by the scheduler, "
[   100,  0.0000070]     0.8225,     0.9074,     0.9301,     3.0928,    20h13m
[   200,  0.0000090]     0.8276,     0.9085,     0.9297,     3.4785,    19h03m
[   300,  0.0000110]     0.8379,     0.9209,     0.9426,     2.3079,    19h00m
[   400,  0.0000130]     0.8249,     0.9072,     0.9299,     2.9236,    19h03m
[   500,  0.0000150]     0.8215,     0.9094,     0.9320,     3.5110,    19h00m
[   600,  0.0000170]     0.8179,     0.9064,     0.9287,     3.8029,    18h57m
[   700,  0.0000190]     0.8315,     0.9158,     0.9367,     2.8542,    18h55m
[   800,  0.0000210]     0.8319,     0.9123,     0.9350,     2.8462,    18h55m
[   900,  0.0000230]     0.8308,     0.9153,     0.9371,     2.5950,    18h53m
[  1000,  0.0000250]     0.8501,     0.9230,     0.9420,     2.4735,    18h53m
[  1100,  0.0000270]     0.8363,     0.9204,     0.9421,     2.6152,    18h53m
[  1200,  0.0000290]     0.8319,     0.9180,     0.9403,     2.2042,    18h53m
[  1300,  0.0000310]     0.8221,     0.9084,     0.9309,     3.4263,    18h50m
[  1400,  0.0000330]     0.8353,     0.9195,     0.9403,     2.7083,    18h50m
[  1500,  0.0000350]     0.8223,     0.9081,     0.9310,     2.4952,    18h50m
[  1600,  0.0000370]     0.8335,     0.9186,     0.9404,     2.6180,    18h46m
[  1700,  0.0000390]     0.8324,     0.9188,     0.9406,     2.8023,    18h48m
[  1800,  0.0000410]     0.8316,     0.9131,     0.9337,     3.1634,    18h47m
[  1900,  0.0000430]     0.8405,     0.9210,     0.9413,     2.8365,    18h46m
[  2000,  0.0000450]     0.8346,     0.9186,     0.9397,     2.4402,    18h45m
[  2100,  0.0000470]     0.8400,     0.9210,     0.9427,     2.3891,    18h43m
[  2200,  0.0000490]     0.8266,     0.9103,     0.9330,     3.0589,    18h42m
[  2300,  0.0000509]     0.8343,     0.9173,     0.9389,     2.2769,    18h43m
[  2400,  0.0000529]     0.8213,     0.9074,     0.9316,     3.0609,    18h41m
[  2500,  0.0000549]     0.8371,     0.9167,     0.9384,     2.7913,    18h40m
[  2600,  0.0000569]     0.8306,     0.9127,     0.9348,     2.7867,    18h39m
[  2700,  0.0000589]     0.8389,     0.9193,     0.9401,     2.4575,    18h36m
[  2800,  0.0000609]     0.8476,     0.9265,     0.9464,     2.4682,    18h36m
[  2900,  0.0000629]     0.8252,     0.9093,     0.9314,     3.8505,    18h35m
[  3000,  0.0000649]     0.8412,     0.9207,     0.9408,     2.9556,    18h35m
[  3100,  0.0000669]     0.8361,     0.9174,     0.9396,     2.5813,    18h33m
[  3200,  0.0000689]     0.8374,     0.9198,     0.9413,     2.6062,    18h34m
[  3300,  0.0000709]     0.8470,     0.9250,     0.9450,     2.6570,    18h32m
[  3400,  0.0000729]     0.8421,     0.9224,     0.9432,     2.1778,    18h32m
[  3500,  0.0000749]     0.8380,     0.9214,     0.9425,     2.4239,    18h30m
[  3600,  0.0000769]     0.8277,     0.9117,     0.9346,     3.6200,    18h31m
[  3700,  0.0000789]     0.8456,     0.9254,     0.9444,     2.5030,    18h27m
[  3800,  0.0000809]     0.8274,     0.9100,     0.9324,     2.9056,    18h28m
[  3900,  0.0000829]     0.8397,     0.9220,     0.9433,     2.3009,    18h28m
[  4000,  0.0000849]     0.8357,     0.9165,     0.9367,     3.1816,    18h25m
[  4100,  0.0000869]     0.8435,     0.9240,     0.9451,     2.1871,    18h26m
[  4200,  0.0000889]     0.8334,     0.9140,     0.9359,     2.7924,    18h23m
[  4300,  0.0000909]     0.8418,     0.9244,     0.9445,     2.5172,    18h22m
[  4400,  0.0000929]     0.8409,     0.9198,     0.9402,     2.6594,    18h20m
[  4500,  0.0000949]     0.8242,     0.9059,     0.9271,     3.3274,    18h21m
[  4600,  0.0000969]     0.8286,     0.9124,     0.9341,     2.8784,    18h21m
[  4700,  0.0000989]     0.8421,     0.9198,     0.9394,     2.9756,    18h19m
[  4800,  0.0001009]     0.8531,     0.9284,     0.9469,     2.6575,    18h18m
[  4900,  0.0001029]     0.8279,     0.9116,     0.9330,     4.0969,    18h17m
[  5000,  0.0001049]     0.8415,     0.9217,     0.9416,     2.7099,    18h18m
[  5100,  0.0001069]     0.8381,     0.9189,     0.9398,     2.5697,    18h14m
[  5200,  0.0001089]     0.8339,     0.9128,     0.9325,     3.5593,    18h14m
[  5300,  0.0001109]     0.8387,     0.9165,     0.9372,     3.0359,    18h14m
[  5400,  0.0001129]     0.8243,     0.9077,     0.9284,     4.0861,    18h14m
[  5500,  0.0001149]     0.8336,     0.9148,     0.9363,     3.0108,    18h11m
[  5600,  0.0001169]     0.8396,     0.9192,     0.9407,     2.7829,    18h12m
[  5700,  0.0001189]     0.8452,     0.9225,     0.9422,     2.9731,    18h10m
[  5800,  0.0001209]     0.8429,     0.9235,     0.9442,     2.3403,    18h09m
[  5900,  0.0001229]     0.8194,     0.9060,     0.9302,     3.6054,    18h08m
[  6000,  0.0001249]     0.8321,     0.9163,     0.9390,     2.5455,    18h07m
[  6100,  0.0001249]     0.8281,     0.9130,     0.9341,     3.1216,    18h07m
[  6200,  0.0001248]     0.8437,     0.9222,     0.9424,     2.7499,    18h06m
[  6300,  0.0001247]     0.8435,     0.9220,     0.9419,     2.4224,    18h06m
[  6400,  0.0001246]     0.8350,     0.9177,     0.9377,     3.0385,    18h04m
[  6500,  0.0001245]     0.8238,     0.9091,     0.9331,     3.0156,    18h03m
[  6600,  0.0001243]     0.8362,     0.9172,     0.9381,     2.8608,    18h00m
[  6700,  0.0001242]     0.8405,     0.9214,     0.9418,     2.2041,    18h01m
[  6800,  0.0001241]     0.8295,     0.9143,     0.9365,     2.7329,    18h01m
[  6900,  0.0001240]     0.8432,     0.9231,     0.9433,     2.2769,    18h01m
[  7000,  0.0001239]     0.8443,     0.9257,     0.9458,     2.1824,    17h57m
[  7100,  0.0001238]     0.8376,     0.9163,     0.9371,     3.1735,    17h58m
[  7200,  0.0001237]     0.8415,     0.9193,     0.9393,     2.8111,    17h55m
[  7300,  0.0001236]     0.8309,     0.9176,     0.9404,     2.5951,    17h55m
[  7400,  0.0001235]     0.8341,     0.9176,     0.9396,     2.6393,    17h55m
[  7500,  0.0001234]     0.8388,     0.9168,     0.9365,     3.9876,    17h54m
[  7600,  0.0001233]     0.8209,     0.9100,     0.9335,     2.8556,    17h53m
[  7700,  0.0001231]     0.8433,     0.9199,     0.9400,     2.5838,    17h51m
[  7800,  0.0001230]     0.8335,     0.9160,     0.9389,     2.8260,    17h52m
[  7900,  0.0001229]     0.8351,     0.9180,     0.9396,     2.9314,    17h50m
[  8000,  0.0001228]     0.8537,     0.9279,     0.9453,     2.9947,    17h51m
[  8100,  0.0001227]     0.8331,     0.9166,     0.9377,     3.9465,    17h47m
[  8200,  0.0001226]     0.8530,     0.9297,     0.9491,     1.8949,    17h47m
[  8300,  0.0001225]     0.8395,     0.9205,     0.9418,     2.7280,    17h46m
[  8400,  0.0001224]     0.8295,     0.9131,     0.9346,     3.2234,    17h46m
[  8500,  0.0001223]     0.8396,     0.9255,     0.9461,     2.4650,    17h45m
[  8600,  0.0001222]     0.8392,     0.9162,     0.9363,     3.2540,    17h44m
[  8700,  0.0001220]     0.8277,     0.9103,     0.9325,     3.4899,    17h43m
[  8800,  0.0001219]     0.8424,     0.9216,     0.9420,     2.4159,    17h41m
[  8900,  0.0001218]     0.8202,     0.9058,     0.9287,     3.8499,    17h42m
[  9000,  0.0001217]     0.8187,     0.9074,     0.9303,     2.9958,    17h41m
[  9100,  0.0001216]     0.8398,     0.9230,     0.9430,     2.7257,    17h39m
[  9200,  0.0001215]     0.8474,     0.9263,     0.9466,     2.0991,    17h37m
[  9300,  0.0001214]     0.8429,     0.9198,     0.9392,     2.8464,    17h38m
[  9400,  0.0001213]     0.8287,     0.9145,     0.9361,     2.5541,    17h36m
[  9500,  0.0001212]     0.8441,     0.9207,     0.9396,     2.8385,    17h35m
[  9600,  0.0001211]     0.8244,     0.9094,     0.9333,     2.8725,    17h35m
[  9700,  0.0001210]     0.8235,     0.9113,     0.9338,     3.7560,    17h32m
