Validation (clean) EPE: 1.393870, 1px: 0.899836, 3px: 0.956212, 5px: 0.968745
Validation (final) EPE: 2.801615, 1px: 0.846193, 3px: 0.914675, 5px: 0.934026

python train.py --name setrans-things --stage things --validation sintel --output results/things/setrans --restore_ckpt results/chairs/setrans/setrans-chairs.pth --num_steps 120000 --lr 0.00006 --image_size 400 720 --wdecay 0.0001 --gpus 0 1 --batch_size 6 --val_freq 10000 --print_freq 100 --mixed_precision --setrans --rafter --corrnorm global

Time: 08242130
Args:
Namespace(add_noise=False, batch_size=6, clip=1.0, corr_norm_type='global', corr_radius=4, dropout=0.0, epsilon=1e-08, freeze_bn=False, gamma=0.8, gpus=[0, 1], image_size=[400, 720], inter_pos_embed_weight=0.5, inter_qk_have_bias=True, intra_pos_embed_weight=1.0, iters=12, lr=6e-05, mixed_precision=True, model_name='', name='setrans-things', num_heads=1, num_modes=4, num_steps=120000, output='results/things/setrans', position_and_content=False, position_only=False, print_freq=100, rafter=True, restore_ckpt='results/chairs/setrans/setrans-chairs.pth', setrans=True, small=False, stage='things', upsample_learn=False, val_freq=10000, validation=['sintel'], wdecay=0.0001)
Lookup radius: 4
inter-frame trans config:
{'feat_dim': 256, 'in_feat_dim': 256, 'pos_dim': 2, 'pos_embed_weight': 0.5, 'num_modes': 4, 'tie_qk_scheme': 'shared', 'mid_type': 'shared', 'trans_output_type': 'private', 'qk_have_bias': True, 'v_has_bias': False, 'out_attn_probs_only': False, 'out_attn_scores_only': True, 'pool_modes_feat': 'softmax', 'act_fun': <function gelu at 0x7f678197a940>, 'attn_clip': 100, 'attn_diag_cycles': 1000, 'base_initializer_range': 0.02, 'query_idbias_scale': 10, 'feattrans_lin1_idbias_scale': 10, 'hidden_dropout_prob': 0.1, 'attention_probs_dropout_prob': 0.2, 'ablate_pos_embed_type': False, 'ablate_multihead': False}
inter-frame correlation block: in_feat_dim: 256, feat_dim: 256, modes: 4, qk_have_bias: True
Learnable Sinusoidal positional encoding
intra-frame attention: in_feat_dim: 128, feat_dim: 128, modes: 4, qk_have_bias: False
Learnable Sinusoidal positional encoding
intra-frame trans config:
{'feat_dim': 128, 'in_feat_dim': 128, 'pos_dim': 2, 'pos_embed_weight': 1.0, 'num_modes': 4, 'tie_qk_scheme': None, 'mid_type': 'shared', 'trans_output_type': 'private', 'qk_have_bias': False, 'v_has_bias': False, 'out_attn_probs_only': True, 'out_attn_scores_only': False, 'pool_modes_feat': 'softmax', 'act_fun': <function gelu at 0x7f678197a940>, 'attn_clip': 100, 'attn_diag_cycles': 1000, 'base_initializer_range': 0.02, 'query_idbias_scale': 10, 'feattrans_lin1_idbias_scale': 10, 'hidden_dropout_prob': 0.1, 'attention_probs_dropout_prob': 0.2, 'ablate_pos_embed_type': False, 'ablate_multihead': False, 'has_FFN': False, 'has_input_skip': True}
Motion Aggregator: v_has_bias: False, has_FFN: False, has_input_skip: True
Parameter Count: 5914438
Training with 80604 image pairs
train.py:181: FutureWarning: Non-finite norm encountered in torch.nn.utils.clip_grad_norm_; continuing anyway. Note that the default behavior will change in a future release to error out if a non-finite total norm is encountered. At that point, setting error_if_nonfinite=false will be required to retain the old behavior.
  torch.nn.utils.clip_grad_norm_(model.parameters(), args.clip)
/home/li_shaohua/venv/lib/python3.8/site-packages/torch/optim/lr_scheduler.py:129: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
  warnings.warn("Detected call of `lr_scheduler.step()` before `optimizer.step()`. "
/home/li_shaohua/venv/lib/python3.8/site-packages/torch/optim/lr_scheduler.py:1289: UserWarning: To get the last learning rate computed by the scheduler, please use `get_last_lr()`.
  warnings.warn("To get the last learning rate computed by the scheduler, "
[   100,  0.0000033]     0.6091,     0.7629,     0.8016,    14.9078,    22h42m
[   200,  0.0000043]     0.6238,     0.7744,     0.8128,    14.2979,    21h22m
[   300,  0.0000053]     0.6473,     0.7920,     0.8299,    11.4074,    21h20m
[   400,  0.0000062]     0.6508,     0.7903,     0.8279,     9.7819,    21h18m
[   500,  0.0000072]     0.6690,     0.7994,     0.8360,    10.6866,    21h16m
[   600,  0.0000081]     0.6738,     0.8037,     0.8389,    10.2849,    21h15m
[   700,  0.0000091]     0.6728,     0.8031,     0.8396,     9.3765,    21h15m
[   800,  0.0000101]     0.6742,     0.8008,     0.8360,    10.9696,    21h13m
[   900,  0.0000110]     0.6825,     0.8075,     0.8438,     9.2991,    21h13m
[  1000,  0.0000120]     0.6990,     0.8206,     0.8550,     8.7517,    21h10m
[  1100,  0.0000129]     0.6789,     0.8037,     0.8388,     9.9598,    21h11m
[  1200,  0.0000139]     0.6851,     0.8081,     0.8435,     9.2418,    21h08m
[  1300,  0.0000149]     0.6857,     0.8062,     0.8389,    11.8951,    21h08m
[  1400,  0.0000158]     0.6870,     0.8115,     0.8458,     9.0118,    21h06m
[  1500,  0.0000168]     0.6781,     0.8033,     0.8396,     9.2149,    21h05m
[  1600,  0.0000177]     0.6832,     0.8080,     0.8425,    10.8706,    21h04m
[  1700,  0.0000187]     0.6899,     0.8100,     0.8438,    10.2525,    21h03m
[  1800,  0.0000197]     0.6911,     0.8146,     0.8500,     9.1636,    21h02m
[  1900,  0.0000206]     0.7021,     0.8241,     0.8574,     8.9063,    21h01m
[  2000,  0.0000216]     0.6957,     0.8156,     0.8491,     9.3956,    20h58m
[  2100,  0.0000225]     0.7097,     0.8253,     0.8576,     8.2075,    21h00m
[  2200,  0.0000235]     0.7135,     0.8313,     0.8633,     7.9373,    20h58m
[  2300,  0.0000245]     0.7065,     0.8224,     0.8549,     9.5350,    20h56m
[  2400,  0.0000254]     0.6878,     0.8110,     0.8471,     9.0596,    20h54m
[  2500,  0.0000264]     0.6997,     0.8180,     0.8519,     8.5660,    20h55m
[  2600,  0.0000273]     0.6919,     0.8144,     0.8491,     8.8931,    20h54m
[  2700,  0.0000283]     0.6893,     0.8092,     0.8437,     9.3498,    20h54m
[  2800,  0.0000293]     0.7034,     0.8251,     0.8586,     7.2464,    20h52m
[  2900,  0.0000302]     0.7076,     0.8262,     0.8603,     7.3832,    20h50m
[  3000,  0.0000312]     0.7046,     0.8232,     0.8562,     9.3189,    20h51m
[  3100,  0.0000321]     0.7040,     0.8219,     0.8556,     9.2041,    20h49m
[  3200,  0.0000331]     0.7107,     0.8292,     0.8630,     7.3404,    20h48m
[  3300,  0.0000340]     0.6963,     0.8159,     0.8497,     8.9825,    20h46m
[  3400,  0.0000350]     0.6965,     0.8156,     0.8496,     9.0826,    20h45m
[  3500,  0.0000360]     0.6902,     0.8071,     0.8413,    11.1254,    20h44m
[  3600,  0.0000369]     0.7037,     0.8205,     0.8537,     9.2980,    20h44m
[  3700,  0.0000379]     0.7035,     0.8260,     0.8612,     7.7290,    20h42m
[  3800,  0.0000388]     0.6896,     0.8131,     0.8487,     9.5851,    20h41m
[  3900,  0.0000398]     0.7074,     0.8270,     0.8604,     8.4393,    20h40m
[  4000,  0.0000408]     0.7110,     0.8303,     0.8635,     8.1106,    20h38m
[  4100,  0.0000417]     0.6957,     0.8164,     0.8512,     8.8854,    20h38m
[  4200,  0.0000427]     0.7059,     0.8280,     0.8621,     7.2690,    20h37m
[  4300,  0.0000436]     0.7052,     0.8269,     0.8615,     7.2477,    20h35m
[  4400,  0.0000446]     0.6729,     0.7962,     0.8317,    11.0231,    20h35m
[  4500,  0.0000456]     0.6971,     0.8178,     0.8531,     8.8684,    20h34m
[  4600,  0.0000465]     0.6938,     0.8158,     0.8504,     7.7889,    20h33m
[  4700,  0.0000475]     0.7120,     0.8307,     0.8641,     6.5814,    20h31m
