Validation (clean) EPE: 1.381620, 1px: 0.901351, 3px: 0.957147, 5px: 0.969312
Validation (final) EPE: 2.793372, 1px: 0.849568, 3px: 0.917388, 5px: 0.936895
Validation (frames_cleanpass) EPE: 3.180660, 1px: 0.825001, 3px: 0.905576, 5px: 0.927428
Validation (frames_finalpass) EPE: 2.923150, 1px: 0.822814, 3px: 0.905356, 5px: 0.927899

env CUDA_VISIBLE_DEVICES=2,3 python train.py --name setrans-things --stage things --validation sintel --output results/things/setrans --restore_ckpt results/chairs/setrans/setrans-chairs.pth --num_steps 120000 --lr 0.000125 --image_size 400 720 --wdecay 0.0001 --gpus 0 1 --batch_size 6 --val_freq 10000 --print_freq 100 --mixed_precision --setrans --rafter
Time: 08211405
Args:
Namespace(batch_size=6, clip=1.0, corr_radius=4, dropout=0.0, epsilon=1e-08, gamma=0.8, gpus=[0, 1], image_size=[400, 720], inter_pos_embed_weight=0.5, inter_qk_have_bias=True, intra_pos_embed_weight=1.0, iters=12, lr=0.000125, mixed_precision=True, model_name='', name='setrans-things', num_heads=1, num_modes=4, num_steps=120000, output='results/things/setrans', position_and_content=False, position_only=False, print_freq=100, rafter=True, restore_ckpt='results/chairs/setrans/setrans-chairs.pth', setrans=True, stage='things', upsample_learn=False, val_freq=10000, validation=['sintel'], wdecay=0.0001)
Lookup radius: 4
inter-frame trans config:
{'feat_dim': 256, 'in_feat_dim': 256, 'pos_dim': 2, 'pos_embed_weight': 0.5, 'num_modes': 4, 'tie_qk_scheme': 'shared', 'mid_type': 'shared', 'trans_output_type': 'private', 'act_fun': <function gelu at 0x7f81f7039820>, 'attn_clip': 100, 'attn_diag_cycles': 1000, 'base_initializer_range': 0.02, 'qk_have_bias': True, 'v_has_bias': False, 'query_idbias_scale': 10, 'feattrans_lin1_idbias_scale': 10, 'pool_modes_feat': 'softmax', 'hidden_dropout_prob': 0.1, 'attention_probs_dropout_prob': 0.2, 'ablate_pos_embed_type': False, 'ablate_multihead': False, 'out_attn_probs_only': False, 'out_attn_scores_only': True}
inter-frame attention: in_feat_dim: 256, feat_dim: 256, modes: 4, qk_have_bias: True
Learnable Sinusoidal positional encoding
intra-frame attention: in_feat_dim: 128, feat_dim: 128, modes: 4, qk_have_bias: False
Learnable Sinusoidal positional encoding
intra-frame trans config:
{'feat_dim': 128, 'in_feat_dim': 128, 'pos_dim': 2, 'pos_embed_weight': 1.0, 'num_modes': 4, 'tie_qk_scheme': None, 'mid_type': 'shared', 'trans_output_type': 'private', 'act_fun': <function gelu at 0x7f81f7039820>, 'attn_clip': 100, 'attn_diag_cycles': 1000, 'base_initializer_range': 0.02, 'qk_have_bias': False, 'v_has_bias': False, 'query_idbias_scale': 10, 'feattrans_lin1_idbias_scale': 10, 'pool_modes_feat': 'softmax', 'hidden_dropout_prob': 0.1, 'attention_probs_dropout_prob': 0.2, 'ablate_pos_embed_type': False, 'ablate_multihead': False, 'out_attn_probs_only': True, 'out_attn_scores_only': False, 'has_FFN': False, 'has_input_skip': True}
Motion Aggregator: v_has_bias: False, has_FFN: False, has_input_skip: True
Parameter Count: 5914438
Training with 80604 image pairs
train.py:171: FutureWarning: Non-finite norm encountered in torch.nn.utils.clip_grad_norm_; continuing anyway. Note that the default behavior will change in a future release to error out if a non-finite total norm is encountered. At that point, setting error_if_nonfinite=false will be required to retain the old behavior.
  torch.nn.utils.clip_grad_norm_(model.parameters(), args.clip)
/home/li_shaohua/venv/lib/python3.8/site-packages/torch/optim/lr_scheduler.py:129: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
  warnings.warn("Detected call of `lr_scheduler.step()` before `optimizer.step()`. "
/home/li_shaohua/venv/lib/python3.8/site-packages/torch/optim/lr_scheduler.py:1289: UserWarning: To get the last learning rate computed by the scheduler, please use `get_last_lr()`.
  warnings.warn("To get the last learning rate computed by the scheduler, "
train.py:99: DeprecationWarning: `np.int` is a deprecated alias for the builtin `int`. To silence this warning, use `int` by itself. Doing this will not modify any behavior and is safe. When replacing `np.int`, you may wish to use e.g. `np.int64` or `np.int32` to specify the precision. If you wish to review your current use, check the release note link for additional information.
Deprecated in NumPy 1.20; for more details and guidance: https://numpy.org/devdocs/release/1.20.0-notes.html#deprecations
  time_left_sec = time_left_sec.astype(np.int)
[   100,  0.0000070]     0.6194,     0.7638,     0.8005,    15.7110,    18h35m56s
[   200,  0.0000090]     0.6421,     0.7795,     0.8162,    14.4679,    17h18m35s
[   300,  0.0000110]     0.6651,     0.7968,     0.8331,    10.9451,    17h19m12s
[   400,  0.0000130]     0.6619,     0.7938,     0.8295,     9.8621,    17h18m40s
[   500,  0.0000150]     0.6793,     0.8033,     0.8382,    10.4911,    17h20m57s
[   600,  0.0000170]     0.6828,     0.8073,     0.8424,    10.2685,    17h16m12s
[   700,  0.0000190]     0.6797,     0.8063,     0.8419,     9.4924,    17h17m42s
[   800,  0.0000210]     0.6763,     0.8020,     0.8360,    11.0165,    17h15m20s
[   900,  0.0000230]     0.6871,     0.8096,     0.8453,     8.9678,    17h17m23s
[  1000,  0.0000250]     0.7047,     0.8259,     0.8600,     8.3959,    17h12m25s
[  1100,  0.0000270]     0.6823,     0.8042,     0.8391,    10.0185,    17h12m42s
[  1200,  0.0000290]     0.6878,     0.8114,     0.8459,     8.7785,    17h09m58s
[  1300,  0.0000310]     0.6889,     0.8090,     0.8420,    11.9590,    17h11m02s
[  1400,  0.0000330]     0.6905,     0.8146,     0.8493,     8.6942,    17h09m47s
[  1500,  0.0000350]     0.6803,     0.8056,     0.8421,     8.9221,    17h12m33s
[  1600,  0.0000370]     0.6872,     0.8118,     0.8464,     9.0522,    17h14m24s
[  1700,  0.0000390]     0.6920,     0.8119,     0.8456,    10.1170,    17h13m11s
[  1800,  0.0000410]     0.6925,     0.8152,     0.8501,     9.6714,    17h08m30s
[  1900,  0.0000430]     0.7058,     0.8249,     0.8576,     9.0803,    17h06m23s
[  2000,  0.0000450]     0.6963,     0.8152,     0.8486,    10.3760,    17h04m51s
[  2100,  0.0000470]     0.7095,     0.8269,     0.8588,     8.7336,    17h04m39s
[  2200,  0.0000490]     0.7139,     0.8310,     0.8637,     7.5075,    17h10m14s
[  2300,  0.0000509]     0.7102,     0.8252,     0.8568,     8.9780,    17h04m02s
[  2400,  0.0000529]     0.6855,     0.8092,     0.8448,     9.7925,    17h02m42s
[  2500,  0.0000549]     0.6986,     0.8190,     0.8526,     8.2347,    17h03m33s
[  2600,  0.0000569]     0.6929,     0.8125,     0.8466,     9.8685,    17h02m00s
[  2700,  0.0000589]     0.6870,     0.8067,     0.8400,     9.9342,    17h03m52s
[  2800,  0.0000609]     0.7009,     0.8237,     0.8580,     7.5402,    16h58m17s
[  2900,  0.0000629]     0.7064,     0.8256,     0.8596,     7.4075,    16h57m27s
[  3000,  0.0000649]     0.7017,     0.8204,     0.8537,    10.3096,    17h01m00s
[  3100,  0.0000669]     0.7012,     0.8191,     0.8522,    10.1338,    16h59m39s
[  3200,  0.0000689]     0.7077,     0.8285,     0.8627,     7.4704,    16h55m24s
[  3300,  0.0000709]     0.6949,     0.8148,     0.8485,     9.9561,    16h56m37s
[  3400,  0.0000729]     0.6936,     0.8131,     0.8478,     9.0439,    16h53m47s
[  3500,  0.0000749]     0.6888,     0.8070,     0.8407,    11.7614,    16h57m17s
[  3600,  0.0000769]     0.7018,     0.8199,     0.8537,     9.5472,    16h52m26s
[  3700,  0.0000789]     0.7025,     0.8261,     0.8614,     7.9272,    16h51m34s
[  3800,  0.0000809]     0.6848,     0.8090,     0.8442,    10.1447,    16h51m32s
[  3900,  0.0000829]     0.7063,     0.8268,     0.8601,     8.6935,    16h51m03s
[  4000,  0.0000849]     0.7055,     0.8260,     0.8593,     8.9214,    16h52m48s
[  4100,  0.0000869]     0.6912,     0.8153,     0.8504,     8.9253,    16h56m05s
[  4200,  0.0000889]     0.7029,     0.8254,     0.8589,     7.9922,    16h48m00s
[  4300,  0.0000909]     0.7026,     0.8261,     0.8608,     7.3341,    16h50m57s
[  4400,  0.0000929]     0.6660,     0.7898,     0.8262,    12.5650,    16h49m03s
[  4500,  0.0000949]     0.6908,     0.8131,     0.8490,     8.8825,    16h45m12s
[  4600,  0.0000969]     0.6890,     0.8131,     0.8485,     7.7863,    16h46m54s
[  4700,  0.0000989]     0.7095,     0.8294,     0.8634,     6.4409,    16h47m28s
[  4800,  0.0001009]     0.6921,     0.8113,     0.8448,    10.0885,    16h44m06s
[  4900,  0.0001029]     0.6936,     0.8139,     0.8476,    10.5252,    16h40m35s
[  5000,  0.0001049]     0.6938,     0.8167,     0.8508,     9.0262,    16h40m43s
[  5100,  0.0001069]     0.6906,     0.8090,     0.8429,    12.7847,    16h41m46s
[  5200,  0.0001089]     0.6931,     0.8147,     0.8485,    10.0526,    16h38m23s
[  5300,  0.0001109]     0.6956,     0.8159,     0.8500,     8.7847,    16h39m24s
[  5400,  0.0001129]     0.7005,     0.8227,     0.8569,     8.5568,    16h37m47s
[  5500,  0.0001149]     0.7040,     0.8227,     0.8558,     8.4034,    16h35m38s
[  5600,  0.0001169]     0.7025,     0.8192,     0.8534,     9.0749,    16h36m57s
[  5700,  0.0001189]     0.7101,     0.8302,     0.8628,     8.8366,    16h39m32s
[  5800,  0.0001209]     0.6933,     0.8156,     0.8500,     9.5312,    16h34m19s
[  5900,  0.0001229]     0.6986,     0.8205,     0.8544,     9.2986,    16h37m33s
[  6000,  0.0001249]     0.7013,     0.8231,     0.8576,     7.7883,    16h38m26s
[  6100,  0.0001249]     0.6946,     0.8136,     0.8473,     9.4456,    16h32m32s
[  6200,  0.0001248]     0.7135,     0.8340,     0.8661,     7.7227,    16h34m23s
[  6300,  0.0001247]     0.7034,     0.8244,     0.8580,     9.6343,    16h34m00s
[  6400,  0.0001246]     0.6984,     0.8204,     0.8544,     8.7436,    16h32m12s
[  6500,  0.0001245]     0.6912,     0.8130,     0.8474,     9.8589,    16h30m38s
[  6600,  0.0001243]     0.7063,     0.8274,     0.8624,     7.7355,    16h33m42s
[  6700,  0.0001242]     0.6832,     0.8084,     0.8440,     9.7634,    16h29m34s
[  6800,  0.0001241]     0.6937,     0.8140,     0.8467,    10.5600,    16h30m04s
[  6900,  0.0001240]     0.6959,     0.8204,     0.8547,     9.2331,    16h27m16s
[  7000,  0.0001239]     0.6875,     0.8146,     0.8513,     9.0984,    16h24m09s
[  7100,  0.0001238]     0.6840,     0.8075,     0.8426,    10.2116,    16h25m39s
[  7200,  0.0001237]     0.7132,     0.8280,     0.8602,     7.9783,    16h24m48s
[  7300,  0.0001236]     0.7033,     0.8208,     0.8543,     8.7778,    16h23m10s
[  7400,  0.0001235]     0.6996,     0.8215,     0.8560,     9.0814,    16h19m11s
[  7500,  0.0001234]     0.7039,     0.8214,     0.8551,     8.7056,    16h18m46s
[  7600,  0.0001233]     0.7041,     0.8208,     0.8543,     9.3153,    16h19m30s
[  7700,  0.0001231]     0.6953,     0.8184,     0.8526,    10.1777,    16h17m38s
[  7800,  0.0001230]     0.7071,     0.8243,     0.8573,     8.7762,    16h18m18s
[  7900,  0.0001229]     0.7062,     0.8261,     0.8600,     8.8043,    16h18m39s
[  8000,  0.0001228]     0.6924,     0.8183,     0.8542,     9.4606,    16h16m16s
[  8100,  0.0001227]     0.7032,     0.8277,     0.8614,     7.2057,    16h15m58s
[  8200,  0.0001226]     0.7044,     0.8282,     0.8625,     7.5743,    16h15m12s
[  8300,  0.0001225]     0.7125,     0.8305,     0.8628,     7.7250,    16h14m38s
[  8400,  0.0001224]     0.7108,     0.8289,     0.8617,     8.0714,    16h12m15s
[  8500,  0.0001223]     0.6917,     0.8144,     0.8488,     8.7665,    16h12m02s
[  8600,  0.0001222]     0.6981,     0.8186,     0.8515,     9.7869,    16h11m43s
[  8700,  0.0001220]     0.6880,     0.8114,     0.8463,    10.6038,    16h09m54s
[  8800,  0.0001219]     0.7082,     0.8231,     0.8557,     9.7091,    16h10m03s
[  8900,  0.0001218]     0.7020,     0.8222,     0.8550,     8.4524,    16h07m02s
[  9000,  0.0001217]     0.7043,     0.8283,     0.8622,     7.6977,    16h08m05s
[  9100,  0.0001216]     0.7089,     0.8270,     0.8607,     7.8777,    16h06m10s
[  9200,  0.0001215]     0.7043,     0.8231,     0.8570,     8.1263,    16h07m15s
[  9300,  0.0001214]     0.7031,     0.8222,     0.8569,     8.7304,    16h06m19s
[  9400,  0.0001213]     0.7058,     0.8275,     0.8618,     7.8881,    16h03m11s
[  9500,  0.0001212]     0.6872,     0.8087,     0.8441,    10.6324,    16h02m05s
[  9600,  0.0001211]     0.6987,     0.8188,     0.8528,     8.3176,    16h02m30s
[  9700,  0.0001210]     0.7132,     0.8320,     0.8643,     8.5171,    16h00m44s
[  9800,  0.0001208]     0.7004,     0.8189,     0.8537,     9.8421,    15h59m23s
[  9900,  0.0001207]     0.7166,     0.8316,     0.8634,     8.6293,    15h57m41s
[ 10000,  0.0001206]     0.7029,     0.8220,     0.8560,     9.2047,    15h59m57s
Validation (clean) EPE: 1.750183, 1px: 0.881564, 3px: 0.946847, 5px: 0.961263
Validation (final) EPE: 3.235998, 1px: 0.830870, 3px: 0.905831, 5px: 0.926587
[ 10100,  0.0001205]     0.7073,     0.8288,     0.8634,     7.6678,    15h54m33s
[ 10200,  0.0001204]     0.7102,     0.8234,     0.8555,     9.6411,    15h52m25s
[ 10300,  0.0001203]     0.6988,     0.8226,     0.8578,     9.0064,    15h53m55s
[ 10400,  0.0001202]     0.7167,     0.8381,     0.8721,     7.4237,    15h52m23s
[ 10500,  0.0001201]     0.7118,     0.8313,     0.8657,     7.0481,    15h50m42s
[ 10600,  0.0001200]     0.7098,     0.8282,     0.8607,     9.6024,    15h51m54s
[ 10700,  0.0001199]     0.7203,     0.8384,     0.8718,     7.0357,    15h49m32s
[ 10800,  0.0001197]     0.7049,     0.8252,     0.8594,     9.0630,    15h50m25s
[ 10900,  0.0001196]     0.7167,     0.8376,     0.8703,     7.7442,    15h49m37s
[ 11000,  0.0001195]     0.7006,     0.8216,     0.8554,     9.2580,    15h48m21s
[ 11100,  0.0001194]     0.7047,     0.8272,     0.8622,     8.3446,    15h48m36s
[ 11200,  0.0001193]     0.6967,     0.8200,     0.8542,    10.1574,    15h46m54s
[ 11300,  0.0001192]     0.7116,     0.8313,     0.8655,     7.2214,    15h46m53s
[ 11400,  0.0001191]     0.7108,     0.8276,     0.8604,     9.6102,    15h44m33s
[ 11500,  0.0001190]     0.7050,     0.8230,     0.8574,     8.5598,    15h44m17s
[ 11600,  0.0001189]     0.6991,     0.8222,     0.8568,     8.7196,    15h42m10s
[ 11700,  0.0001188]     0.7029,     0.8258,     0.8607,     8.3989,    15h42m56s
[ 11800,  0.0001187]     0.7179,     0.8342,     0.8673,     7.9634,    15h41m14s
[ 11900,  0.0001185]     0.6961,     0.8217,     0.8575,     9.2295,    15h39m26s
[ 12000,  0.0001184]     0.7114,     0.8287,     0.8628,     8.7850,    15h40m26s
[ 12100,  0.0001183]     0.7114,     0.8279,     0.8619,     8.6934,    15h39m31s
[ 12200,  0.0001182]     0.7043,     0.8283,     0.8628,     7.2657,    15h38m48s
[ 12300,  0.0001181]     0.7085,     0.8318,     0.8662,     7.0144,    15h37m04s
[ 12400,  0.0001180]     0.7133,     0.8315,     0.8642,     8.5966,    15h36m17s
[ 12500,  0.0001179]     0.7148,     0.8380,     0.8720,     6.7504,    15h37m36s
[ 12600,  0.0001178]     0.7119,     0.8289,     0.8620,     8.1627,    15h35m33s
[ 12700,  0.0001177]     0.7104,     0.8276,     0.8599,     9.0285,    15h34m44s
[ 12800,  0.0001176]     0.6989,     0.8211,     0.8557,     8.5194,    15h33m03s
[ 12900,  0.0001174]     0.7149,     0.8358,     0.8692,     6.7278,    15h32m49s
[ 13000,  0.0001173]     0.7005,     0.8206,     0.8549,     8.3245,    15h30m35s
[ 13100,  0.0001172]     0.7092,     0.8293,     0.8630,     8.5736,    15h29m15s
[ 13200,  0.0001171]     0.7010,     0.8214,     0.8556,     8.9918,    15h30m05s
[ 13300,  0.0001170]     0.7146,     0.8343,     0.8684,     7.0175,    15h29m12s
