 1 Validation Chairs EPE: 1.792112
 2 Validation Chairs EPE: 1.379543
 3 Validation Chairs EPE: 1.141594
 4 Validation Chairs EPE: 1.055121
 5 Validation Chairs EPE: 0.986099
 6 Validation Chairs EPE: 0.939226
 7 Validation Chairs EPE: 0.899934
 8 Validation Chairs EPE: 0.852033
 9 Validation Chairs EPE: 0.821572
10 Validation Chairs EPE: 0.790008
11 Validation Chairs EPE: 0.768477
12 Validation Chairs EPE: 0.749492

env CUDA_VISIBLE_DEVICES=0,2,3 python3 train.py --name craft-chairs --stage chairs --validation chairs --output results/chairs/craft-f1priv --num_steps 120000 --lr 0.00025 --image_size 368 496 --wdecay 0.0001 --gpus 0 1 2 --batch_size 8 --val_freq 10000 --print_freq 100 --mixed_precision --craft --f2 full --setrans --f1 private /home/li_shaohua/craft[30m[mTime: 04021446
Args:
Namespace(add_noise=False, batch_size=8, clip=1.0, corr_radius=4, craft=True, ddp=False, dropout=0.0, epsilon=1e-08, f1trans='private', f2_attn_mask_radius=-1, f2_num_modes=4, f2_pos_code_weight=0.5, f2trans='full', freeze_bn=False, gamma=0.8, gpus=[0, 1, 2], image_size=[368, 496], inter_num_modes=4, inter_pos_code_type='bias', inter_pos_code_weight=0.5, inter_qk_have_bias=True, intra_num_modes=4, intra_pos_code_type='bias', intra_pos_code_weight=1.0, iters=12, load_optimizer_state=False, load_scheduler_state=False, lr=0.00025, mixed_precision=True, model_name='', name='craft-chairs', nogma=False, num_heads=1, num_steps=120000, num_workers=4, output='results/chairs/craft-f1priv', pos_bias_radius=7, position_and_content=False, position_only=False, print_freq=100, raft=False, restore_ckpt=None, shift_aug_prob=0.0, shift_sigmas=[16, 10], stage='chairs', upsample_learn=False, use_setrans=True, val_freq=10000, validation=['chairs'], wdecay=0.0001)
Lookup radius: 4
Inter-frame trans config:
{'feat_dim': 256, 'in_feat_dim': 256, 'pos_dim': 2, 'pos_code_weight': 0.5, 'num_modes': 4, 'tie_qk_scheme': 'shared', 'trans_output_type': 'private', 'act_fun': <built-in function gelu>, 'attn_clip': 100, 'attn_diag_cycles': 1000, 'base_initializer_range': 0.02, 'qk_have_bias': True, 'v_has_bias': False, 'query_idbias_scale': 10, 'feattrans_lin1_idbias_scale': 10, 'pool_modes_feat': 'softmax', 'hidden_dropout_prob': 0.1, 'attention_probs_dropout_prob': 0.2, 'drop_path_prob': 0, 'pos_code_type': 'bias', 'ablate_multihead': False, 'out_attn_probs_only': False, 'out_attn_scores_only': True, 'attn_mask_radius': -1, 'pos_bias_radius': 7, 'max_pos_size': 160}
Inter-frame correlation block: in_feat_dim: 256, feat_dim: 256, modes: 4, qk_have_bias: True
Positional biases weight: 0.5
/home/li_shaohua/venv/lib/python3.8/site-packages/torch/functional.py:599: UserWarning: torch.meshgrid: in an upcoming release, it will be required to pass the indexing argument. (Triggered internally at  ../aten/src/ATen/native/TensorShape.cpp:2315.)
  return _VF.meshgrid(tensors, **kwargs)  # type: ignore[attr-defined]
Sliding-window Positional Biases, r: 7, max size: (200, 200)
F2 transformer-out_trans: v_has_bias: False, has_FFN: False, has_input_skip: True
F2 transformer: in_feat_dim: 256, feat_dim: 256, modes: 4, qk_have_bias: False
Positional biases weight: 0.5
Sliding-window Positional Biases, r: 7, max size: (200, 200)
F2-trans config:
{'feat_dim': 256, 'in_feat_dim': 256, 'pos_dim': 2, 'pos_code_weight': 0.5, 'num_modes': 4, 'tie_qk_scheme': None, 'trans_output_type': 'private', 'act_fun': <built-in function gelu>, 'attn_clip': 100, 'attn_diag_cycles': 1000, 'base_initializer_range': 0.02, 'qk_have_bias': False, 'v_has_bias': False, 'query_idbias_scale': 10, 'feattrans_lin1_idbias_scale': 10, 'pool_modes_feat': 'softmax', 'hidden_dropout_prob': 0.1, 'attention_probs_dropout_prob': 0.2, 'drop_path_prob': 0, 'pos_code_type': 'bias', 'ablate_multihead': False, 'out_attn_probs_only': False, 'out_attn_scores_only': False, 'attn_mask_radius': -1, 'pos_bias_radius': 7, 'has_input_skip': True, 'has_FFN': False}
F1 transformer-out_trans: v_has_bias: False, has_FFN: False, has_input_skip: True
F1 transformer: in_feat_dim: 256, feat_dim: 256, modes: 4, qk_have_bias: False
Positional biases weight: 0.5
Sliding-window Positional Biases, r: 7, max size: (200, 200)
Intra-frame attention: in_feat_dim: 128, feat_dim: 128, modes: 4, qk_have_bias: False
Positional biases weight: 1.0
Sliding-window Positional Biases, r: 7, max size: (200, 200)
Intra-frame trans config:
{'feat_dim': 128, 'in_feat_dim': 128, 'pos_dim': 2, 'pos_code_weight': 1.0, 'num_modes': 4, 'tie_qk_scheme': None, 'trans_output_type': 'private', 'act_fun': <built-in function gelu>, 'attn_clip': 100, 'attn_diag_cycles': 1000, 'base_initializer_range': 0.02, 'qk_have_bias': False, 'v_has_bias': False, 'query_idbias_scale': 10, 'feattrans_lin1_idbias_scale': 10, 'pool_modes_feat': 'softmax', 'hidden_dropout_prob': 0.1, 'attention_probs_dropout_prob': 0.2, 'drop_path_prob': 0, 'pos_code_type': 'bias', 'ablate_multihead': False, 'out_attn_probs_only': True, 'out_attn_scores_only': False, 'attn_mask_radius': -1, 'pos_bias_radius': 7, 'has_FFN': False, 'has_input_skip': True}
Motion Aggregator: v_has_bias: False, has_FFN: False, has_input_skip: True
Parameter Count: 6701134
chairs-training: 22232 image pairs.
Training with 22232 image pairs
/home/li_shaohua/venv/lib/python3.8/site-packages/torch/optim/lr_scheduler.py:131: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
  warnings.warn("Detected call of `lr_scheduler.step()` before `optimizer.step()`. "
/home/li_shaohua/venv/lib/python3.8/site-packages/torch/optim/lr_scheduler.py:1581: UserWarning: To get the last learning rate computed by the scheduler, please use `get_last_lr()`.
  warnings.warn("To get the last learning rate computed by the scheduler, "
[   100,  0.0000140]     0.0658,     0.2771,     0.4124,    15.0672,    22h09m
[   200,  0.0000180]     0.0501,     0.2317,     0.3742,    13.9720,    18h53m
[   300,  0.0000220]     0.0687,     0.2946,     0.4557,    13.0821,    18h53m
[   400,  0.0000259]     0.0661,     0.3059,     0.4739,    12.2151,    18h51m
[   500,  0.0000299]     0.0941,     0.3576,     0.5109,    11.3122,    18h52m
[   600,  0.0000339]     0.1211,     0.4039,     0.5614,    10.4657,    18h52m
[   700,  0.0000379]     0.1500,     0.4530,     0.6001,    10.8792,    18h52m
[   800,  0.0000419]     0.1719,     0.4699,     0.6077,    10.5701,    18h49m
[   900,  0.0000459]     0.1859,     0.4909,     0.6279,    10.5631,    18h46m
[  1000,  0.0000499]     0.2431,     0.5695,     0.6956,     9.1507,    18h45m
[  1100,  0.0000539]     0.2654,     0.5861,     0.7039,     8.6688,    18h44m
[  1200,  0.0000579]     0.3027,     0.6076,     0.7147,     8.4648,    18h46m
[  1300,  0.0000619]     0.3373,     0.6430,     0.7425,     8.0851,    18h43m
[  1400,  0.0000659]     0.3577,     0.6583,     0.7547,     7.5055,    18h42m
[  1500,  0.0000699]     0.3883,     0.6703,     0.7576,     8.1702,    18h41m
[  1600,  0.0000739]     0.3992,     0.6873,     0.7738,     7.2925,    18h40m
[  1700,  0.0000779]     0.4150,     0.6997,     0.7838,     7.1706,    18h38m
[  1800,  0.0000819]     0.4546,     0.7132,     0.7906,     6.7886,    18h37m
[  1900,  0.0000859]     0.4645,     0.7239,     0.7982,     6.5897,    18h37m
[  2000,  0.0000899]     0.4655,     0.7184,     0.7938,     7.2536,    18h36m
[  2100,  0.0000939]     0.4821,     0.7342,     0.8044,     7.1428,    18h40m
[  2200,  0.0000979]     0.5138,     0.7515,     0.8199,     6.1098,    18h35m
[  2300,  0.0001019]     0.5190,     0.7553,     0.8198,     6.3510,    18h34m
[  2400,  0.0001059]     0.5395,     0.7623,     0.8252,     5.9397,    18h32m
[  2500,  0.0001099]     0.5446,     0.7662,     0.8280,     6.1143,    18h32m
[  2600,  0.0001139]     0.5644,     0.7810,     0.8397,     5.7840,    18h31m
[  2700,  0.0001179]     0.5721,     0.7858,     0.8435,     5.5740,    18h30m
[  2800,  0.0001219]     0.5692,     0.7800,     0.8386,     6.0217,    18h26m
[  2900,  0.0001259]     0.5896,     0.7896,     0.8424,     5.9155,    18h26m
[  3000,  0.0001299]     0.5985,     0.7924,     0.8451,     5.9274,    18h24m
[  3100,  0.0001339]     0.5910,     0.7940,     0.8480,     5.5727,    18h23m
[  3200,  0.0001379]     0.5909,     0.7943,     0.8487,     5.5720,    18h22m
[  3300,  0.0001419]     0.6055,     0.7990,     0.8518,     5.4601,    18h22m
[  3400,  0.0001459]     0.6073,     0.8041,     0.8559,     5.8590,    18h21m
[  3500,  0.0001499]     0.6299,     0.8136,     0.8636,     5.4010,    18h21m
[  3600,  0.0001539]     0.6383,     0.8198,     0.8662,     5.0414,    18h20m
[  3700,  0.0001579]     0.6323,     0.8175,     0.8664,     5.3681,    18h18m
[  3800,  0.0001619]     0.6484,     0.8212,     0.8670,     5.3772,    18h18m
[  3900,  0.0001659]     0.6372,     0.8252,     0.8725,     4.8561,    18h17m
[  4000,  0.0001699]     0.6348,     0.8211,     0.8707,     4.7637,    18h16m
[  4100,  0.0001739]     0.6408,     0.8202,     0.8662,     5.1157,    18h15m
[  4200,  0.0001778]     0.6504,     0.8285,     0.8737,     4.7438,    18h15m
[  4300,  0.0001818]     0.6538,     0.8342,     0.8791,     4.7268,    18h14m
[  4400,  0.0001858]     0.6562,     0.8345,     0.8797,     4.4371,    18h13m
[  4500,  0.0001898]     0.6473,     0.8279,     0.8742,     4.6445,    18h12m
[  4600,  0.0001938]     0.6744,     0.8437,     0.8853,     4.3651,    18h11m
[  4700,  0.0001978]     0.6577,     0.8324,     0.8775,     4.6414,    18h09m
[  4800,  0.0002018]     0.6727,     0.8417,     0.8834,     4.4597,    18h08m
[  4900,  0.0002058]     0.6755,     0.8432,     0.8851,     4.5374,    18h08m
[  5000,  0.0002098]     0.6966,     0.8584,     0.8963,     4.1568,    18h08m
[  5100,  0.0002138]     0.6887,     0.8551,     0.8956,     3.9445,    18h06m
[  5200,  0.0002178]     0.6975,     0.8583,     0.8975,     4.0264,    18h05m
[  5300,  0.0002218]     0.6740,     0.8439,     0.8862,     4.4309,    18h06m
[  5400,  0.0002258]     0.7074,     0.8639,     0.9008,     3.7045,    18h04m
[  5500,  0.0002298]     0.7055,     0.8630,     0.9001,     3.9485,    18h04m
[  5600,  0.0002338]     0.7010,     0.8590,     0.8950,     4.3124,    18h03m
[  5700,  0.0002378]     0.6987,     0.8602,     0.8973,     4.0681,    18h02m
[  5800,  0.0002418]     0.6958,     0.8546,     0.8924,     4.1757,    17h59m
[  5900,  0.0002458]     0.6893,     0.8509,     0.8914,     4.5289,    17h57m
[  6000,  0.0002498]     0.7116,     0.8668,     0.9031,     3.9785,    17h57m
[  6100,  0.0002498]     0.7114,     0.8650,     0.9014,     3.9942,    17h55m
[  6200,  0.0002496]     0.7000,     0.8591,     0.8963,     4.2050,    17h55m
[  6300,  0.0002494]     0.6921,     0.8560,     0.8942,     4.2508,    17h54m
[  6400,  0.0002491]     0.7119,     0.8631,     0.8993,     4.2918,    17h55m
[  6500,  0.0002489]     0.7231,     0.8738,     0.9076,     3.5095,    17h54m
[  6600,  0.0002487]     0.7192,     0.8760,     0.9099,     3.6106,    17h52m
[  6700,  0.0002485]     0.7210,     0.8727,     0.9063,     4.1606,    17h51m
[  6800,  0.0002483]     0.7061,     0.8648,     0.9010,     4.5303,    17h49m
[  6900,  0.0002480]     0.7121,     0.8673,     0.9037,     3.6580,    17h49m
[  7000,  0.0002478]     0.7013,     0.8662,     0.9027,     3.8289,    17h48m
[  7100,  0.0002476]     0.7202,     0.8782,     0.9116,     3.5044,    17h48m
[  7200,  0.0002474]     0.7279,     0.8804,     0.9139,     3.4028,    17h46m
[  7300,  0.0002472]     0.7272,     0.8774,     0.9115,     3.4925,    17h46m
[  7400,  0.0002469]     0.7435,     0.8869,     0.9176,     3.4757,    17h45m
[  7500,  0.0002467]     0.7254,     0.8792,     0.9117,     3.6818,    17h45m
[  7600,  0.0002465]     0.7340,     0.8820,     0.9152,     3.3574,    17h42m
[  7700,  0.0002463]     0.7345,     0.8819,     0.9135,     3.6819,    17h40m
[  7800,  0.0002461]     0.7397,     0.8899,     0.9214,     2.8860,    17h39m
[  7900,  0.0002458]     0.7347,     0.8842,     0.9150,     3.6623,    17h35m
[  8000,  0.0002456]     0.7395,     0.8880,     0.9203,     3.0964,    17h35m
