Validation Chairs EPE: 0.819991

python3.8 train.py --name gma-chairs --stage chairs --validation chairs --output results/chairs/gma --num_steps 120000 --lr 0.00025 --image_size 368 496 --wdecay 0.0001 --gpus 0 1 --batch_size 8 --val_freq 10000 --print_freq 100 --mixed_precision --setrans
Lookup radius: 4
intra-frame attention: in_feat_dim: 128, feat_dim: 128, modes: 4, qk_have_bias: False
Learnable Sinusoidal positional encoding
intra-frame trans config:
{'feat_dim': 128, 'in_feat_dim': 128, 'pos_dim': 2, 'pos_embed_weight': 1.0, 'num_modes': 4, 'tie_qk_scheme': None, 'mid_type': 'shared', 'trans_output_type': 'private', 'act_fun': <function gelu at 0x7f6ff1c9cd30>, 'attn_clip': 100, 'attn_diag_cycles': 1000, 'base_initializer_range': 0.02, 'qk_have_bias': False, 'v_has_bias': False, 'query_idbias_scale': 10, 'feattrans_lin1_idbias_scale': 10, 'pool_modes_feat': 'softmax', 'hidden_dropout_prob': 0.1, 'attention_probs_dropout_prob': 0.2, 'ablate_pos_embed_type': False, 'ablate_multihead': False, 'out_attn_probs_only': True, 'out_attn_scores_only': False, 'has_FFN': False, 'has_input_skip': True}
Motion Aggregator: v_has_bias: False, has_FFN: False, has_input_skip: True
Parameter Count: 5847876
Training with 22232 image pairs
train.py:170: FutureWarning: Non-finite norm encountered in torch.nn.utils.clip_grad_norm_; continuing anyway. Note that the default behavior will change in a future release to error out if a non-finite total norm is encountered. At that point, setting error_if_nonfinite=false will be required to retain the old behavior.
  torch.nn.utils.clip_grad_norm_(model.parameters(), args.clip)
/usr/local/lib/python3.8/dist-packages/torch/optim/lr_scheduler.py:129: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
  warnings.warn("Detected call of `lr_scheduler.step()` before `optimizer.step()`. "
/usr/local/lib/python3.8/dist-packages/torch/optim/lr_scheduler.py:1289: UserWarning: To get the last learning rate computed by the scheduler, please use `get_last_lr()`.
  warnings.warn("To get the last learning rate computed by the scheduler, "
[   100,  0.0000140]     0.0345,     0.2083,     0.3606,    17.1327,    16h51m16s
[   200,  0.0000180]     0.0521,     0.2763,     0.4207,    14.4355,    15h55m26s
[   300,  0.0000220]     0.0439,     0.2304,     0.3796,    15.5776,    15h58m32s
[   400,  0.0000259]     0.0350,     0.2168,     0.3885,    13.7194,    16h02m31s
[   500,  0.0000299]     0.0413,     0.2492,     0.4349,    12.8641,    16h17m53s
[   600,  0.0000339]     0.0564,     0.2989,     0.4809,    11.8850,    16h31m47s
[   700,  0.0000379]     0.0886,     0.3808,     0.5572,    10.7180,    16h43m39s
[   800,  0.0000419]     0.1186,     0.4362,     0.5955,    10.6640,    16h43m09s
[   900,  0.0000459]     0.1514,     0.4917,     0.6423,     9.8300,    16h47m32s
[  1000,  0.0000499]     0.1814,     0.5309,     0.6751,     8.5030,    16h50m16s
[  1100,  0.0000539]     0.2156,     0.5655,     0.6960,     9.0776,    16h52m20s
[  1200,  0.0000579]     0.2563,     0.6117,     0.7323,     7.5952,    16h53m19s
[  1300,  0.0000619]     0.3073,     0.6411,     0.7469,     7.7090,    16h53m50s
[  1400,  0.0000659]     0.3041,     0.6430,     0.7458,     8.3262,    16h51m30s
[  1500,  0.0000699]     0.3503,     0.6699,     0.7646,     7.7136,    16h47m09s
[  1600,  0.0000739]     0.3926,     0.6962,     0.7838,     7.1523,    16h46m02s
[  1700,  0.0000779]     0.3981,     0.6946,     0.7817,     7.2419,    16h41m56s
[  1800,  0.0000819]     0.4437,     0.7136,     0.7930,     7.2590,    16h40m46s
[  1900,  0.0000859]     0.4660,     0.7337,     0.8090,     6.2605,    16h41m02s
[  2000,  0.0000899]     0.4807,     0.7366,     0.8091,     6.4447,    16h38m57s
[  2100,  0.0000939]     0.4999,     0.7457,     0.8151,     6.2116,    16h37m34s
[  2200,  0.0000979]     0.4946,     0.7430,     0.8133,     6.5167,    16h38m32s
[  2300,  0.0001019]     0.5312,     0.7593,     0.8241,     6.2007,    16h36m25s
[  2400,  0.0001059]     0.5358,     0.7683,     0.8314,     5.7574,    16h36m59s
[  2500,  0.0001099]     0.5369,     0.7621,     0.8242,     6.3347,    16h35m40s
[  2600,  0.0001139]     0.5532,     0.7805,     0.8424,     5.4955,    16h33m37s
[  2700,  0.0001179]     0.5603,     0.7824,     0.8424,     5.6507,    16h32m39s
[  2800,  0.0001219]     0.5862,     0.7934,     0.8485,     5.5872,    16h28m03s
[  2900,  0.0001259]     0.5977,     0.7998,     0.8548,     5.2968,    16h27m02s
[  3000,  0.0001299]     0.5945,     0.8007,     0.8537,     5.4204,    16h27m22s
[  3100,  0.0001339]     0.6132,     0.8156,     0.8660,     5.0174,    16h27m23s
[  3200,  0.0001379]     0.6009,     0.8037,     0.8569,     5.5054,    16h25m41s
[  3300,  0.0001419]     0.6135,     0.8067,     0.8588,     5.2437,    16h26m41s
[  3400,  0.0001459]     0.6077,     0.8012,     0.8534,     5.4812,    16h25m49s
[  3500,  0.0001499]     0.6279,     0.8129,     0.8627,     5.5987,    16h23m26s
[  3600,  0.0001539]     0.6370,     0.8159,     0.8650,     4.8583,    16h23m35s
[  3700,  0.0001579]     0.6417,     0.8256,     0.8712,     5.1140,    16h22m46s
[  3800,  0.0001619]     0.6329,     0.8182,     0.8671,     4.9236,    16h21m03s
[  3900,  0.0001659]     0.6377,     0.8265,     0.8727,     5.0096,    16h19m25s
[  4000,  0.0001699]     0.6235,     0.8126,     0.8627,     5.4505,    16h20m46s
[  4100,  0.0001739]     0.6512,     0.8286,     0.8737,     5.0405,    16h18m58s
[  4200,  0.0001778]     0.6537,     0.8371,     0.8817,     4.6238,    16h17m17s
[  4300,  0.0001818]     0.6607,     0.8353,     0.8798,     4.5490,    16h18m28s
[  4400,  0.0001858]     0.6650,     0.8328,     0.8756,     4.9924,    16h16m11s
[  4500,  0.0001898]     0.6650,     0.8376,     0.8807,     4.9058,    16h14m32s
[  4600,  0.0001938]     0.6558,     0.8337,     0.8788,     4.4840,    16h14m38s
[  4700,  0.0001978]     0.6723,     0.8411,     0.8828,     4.8577,    16h15m58s
[  4800,  0.0002018]     0.6666,     0.8368,     0.8803,     4.6049,    16h12m19s
[  4900,  0.0002058]     0.6830,     0.8500,     0.8912,     4.2977,    16h12m49s
[  5000,  0.0002098]     0.6716,     0.8409,     0.8833,     4.7226,    16h12m03s
[  5100,  0.0002138]     0.6762,     0.8458,     0.8866,     4.5297,    16h09m35s
[  5200,  0.0002178]     0.6636,     0.8390,     0.8816,     5.2402,    16h09m19s
[  5300,  0.0002218]     0.6757,     0.8451,     0.8871,     4.2293,    16h08m35s
[  5400,  0.0002258]     0.6925,     0.8570,     0.8955,     4.0410,    16h07m54s
[  5500,  0.0002298]     0.6876,     0.8495,     0.8904,     4.4257,    16h06m14s
[  5600,  0.0002338]     0.6915,     0.8587,     0.8965,     4.0412,    16h05m46s
[  5700,  0.0002378]     0.6929,     0.8542,     0.8924,     4.4638,    16h05m31s
[  5800,  0.0002418]     0.6820,     0.8478,     0.8879,     4.4855,    16h04m13s
[  5900,  0.0002458]     0.6945,     0.8555,     0.8937,     4.6541,    16h03m57s
[  6000,  0.0002498]     0.6737,     0.8464,     0.8866,     4.7215,    16h02m09s
[  6100,  0.0002498]     0.6852,     0.8500,     0.8906,     4.4890,    16h01m54s
[  6200,  0.0002496]     0.6946,     0.8526,     0.8907,     4.2050,    16h00m54s
[  6300,  0.0002494]     0.6972,     0.8583,     0.8965,     4.0628,    16h00m32s
[  6400,  0.0002491]     0.6943,     0.8557,     0.8936,     4.9126,    16h00m04s
[  6500,  0.0002489]     0.6990,     0.8535,     0.8915,     4.4326,    15h58m16s
[  6600,  0.0002487]     0.6839,     0.8505,     0.8906,     4.7960,    15h57m20s
[  6700,  0.0002485]     0.6987,     0.8608,     0.8990,     3.7454,    15h57m16s
[  6800,  0.0002483]     0.6997,     0.8618,     0.9006,     3.8686,    15h55m34s
[  6900,  0.0002480]     0.7135,     0.8708,     0.9082,     3.7146,    15h55m06s
[  7000,  0.0002478]     0.6933,     0.8573,     0.8959,     4.0883,    15h53m36s
[  7100,  0.0002476]     0.7202,     0.8750,     0.9096,     3.5331,    15h51m22s
[  7200,  0.0002474]     0.7174,     0.8706,     0.9053,     3.7875,    15h50m35s
[  7300,  0.0002472]     0.7103,     0.8692,     0.9061,     3.9104,    15h50m53s
[  7400,  0.0002469]     0.7116,     0.8682,     0.9043,     3.5641,    15h48m25s
[  7500,  0.0002467]     0.7062,     0.8668,     0.9032,     4.1136,    15h48m15s
[  7600,  0.0002465]     0.7150,     0.8722,     0.9083,     3.5720,    15h47m42s
[  7700,  0.0002463]     0.7077,     0.8640,     0.9004,     4.3490,    15h46m34s
[  7800,  0.0002461]     0.7079,     0.8707,     0.9069,     3.8134,    15h46m06s
[  7900,  0.0002458]     0.7144,     0.8706,     0.9051,     4.3300,    15h45m12s
[  8000,  0.0002456]     0.7170,     0.8713,     0.9071,     3.7510,    15h47m18s
[  8100,  0.0002454]     0.7306,     0.8834,     0.9157,     3.7339,    15h44m44s
[  8200,  0.0002452]     0.7210,     0.8791,     0.9147,     3.4388,    15h41m57s
[  8300,  0.0002450]     0.7307,     0.8803,     0.9142,     3.5215,    15h44m01s
[  8400,  0.0002448]     0.7345,     0.8873,     0.9203,     3.1131,    15h40m09s
[  8500,  0.0002445]     0.7249,     0.8756,     0.9092,     3.6828,    15h40m30s
[  8600,  0.0002443]     0.7316,     0.8847,     0.9176,     3.1399,    15h41m28s
[  8700,  0.0002441]     0.7323,     0.8828,     0.9150,     3.5718,    15h41m03s
[  8800,  0.0002439]     0.7363,     0.8888,     0.9200,     3.1115,    15h38m49s
[  8900,  0.0002437]     0.7357,     0.8846,     0.9170,     3.5062,    15h38m11s
[  9000,  0.0002434]     0.7399,     0.8877,     0.9193,     3.0700,    15h38m09s
[  9100,  0.0002432]     0.7483,     0.8915,     0.9217,     3.5504,    15h35m50s
[  9200,  0.0002430]     0.7312,     0.8824,     0.9146,     3.3965,    15h34m33s
[  9300,  0.0002428]     0.7391,     0.8879,     0.9198,     3.4424,    15h35m05s
[  9400,  0.0002426]     0.7395,     0.8865,     0.9192,     3.5176,    15h32m43s
[  9500,  0.0002423]     0.7466,     0.8906,     0.9214,     2.9980,    15h33m04s
[  9600,  0.0002421]     0.7519,     0.8889,     0.9194,     3.0827,    15h31m55s
[  9700,  0.0002419]     0.7456,     0.8901,     0.9208,     3.2812,    15h30m54s
[  9800,  0.0002417]     0.7424,     0.8893,     0.9199,     3.1135,    15h30m55s
[  9900,  0.0002415]     0.7410,     0.8898,     0.9205,     3.2832,    15h29m06s
[ 10000,  0.0002412]     0.7419,     0.8914,     0.9234,     3.5897,    15h28m21s
Validation Chairs EPE: 2.070716
[ 10100,  0.0002410]     0.7444,     0.8943,     0.9246,     3.2966,    14h55m32s
[ 10200,  0.0002408]     0.7489,     0.8942,     0.9239,     3.1315,    15h34m00s
[ 10300,  0.0002406]     0.7435,     0.8894,     0.9210,     3.4153,    15h41m20s
[ 10400,  0.0002404]     0.7590,     0.9027,     0.9298,     2.9765,    15h35m49s
[ 10500,  0.0002402]     0.7469,     0.8945,     0.9245,     3.2220,    15h27m51s
[ 10600,  0.0002399]     0.7474,     0.8926,     0.9223,     3.2132,    15h24m35s
[ 10700,  0.0002397]     0.7394,     0.8892,     0.9194,     3.4324,    15h21m14s
[ 10800,  0.0002395]     0.7475,     0.8944,     0.9239,     3.9088,    15h19m52s
[ 10900,  0.0002393]     0.7478,     0.8943,     0.9245,     3.1605,    15h19m22s
[ 11000,  0.0002391]     0.7518,     0.8942,     0.9241,     3.0851,    15h18m01s
[ 11100,  0.0002388]     0.7516,     0.8935,     0.9220,     3.6096,    15h17m13s
[ 11200,  0.0002386]     0.7564,     0.8972,     0.9261,     3.1031,    15h17m03s
[ 11300,  0.0002384]     0.7516,     0.8954,     0.9254,     3.0679,    15h15m19s
[ 11400,  0.0002382]     0.7549,     0.8966,     0.9259,     3.1725,    15h16m11s
[ 11500,  0.0002380]     0.7551,     0.8975,     0.9254,     3.5822,    15h16m58s
[ 11600,  0.0002377]     0.7432,     0.8901,     0.9212,     3.3899,    15h14m03s
[ 11700,  0.0002375]     0.7638,     0.9032,     0.9307,     2.7981,    15h14m29s
[ 11800,  0.0002373]     0.7497,     0.8932,     0.9220,     3.4274,    15h12m24s
[ 11900,  0.0002371]     0.7513,     0.8970,     0.9270,     2.9039,    15h13m02s
[ 12000,  0.0002369]     0.7552,     0.8953,     0.9225,     3.3897,    15h11m26s
[ 12100,  0.0002366]     0.7575,     0.9015,     0.9300,     2.8616,    15h10m46s
[ 12200,  0.0002364]     0.7558,     0.8960,     0.9235,     3.2364,    15h09m38s
[ 12300,  0.0002362]     0.7619,     0.9051,     0.9328,     2.8419,    15h08m10s
