 10000  Validation (clean) EPE: 1.231961, 1px: 0.910158, 3px: 0.961311, 5px: 0.972765
        Validation (final) EPE: 1.924594, 1px: 0.869028, 3px: 0.934080, 5px: 0.952225
 20000  Validation (clean) EPE: 0.963376, 1px: 0.911439, 3px: 0.963519, 5px: 0.975009
        Validation (final) EPE: 1.652519, 1px: 0.872167, 3px: 0.937001, 5px: 0.955368
 30000  Validation (clean) EPE: 0.867020, 1px: 0.915529, 3px: 0.964988, 5px: 0.976292
        Validation (final) EPE: 1.542803, 1px: 0.877234, 3px: 0.940373, 5px: 0.958194
 40000  Validation (clean) EPE: 0.800355, 1px: 0.918747, 3px: 0.966576, 5px: 0.977475
        Validation (final) EPE: 1.500991, 1px: 0.879298, 3px: 0.942361, 5px: 0.959584
 50000  Validation (clean) EPE: 0.847430, 1px: 0.920488, 3px: 0.967199, 5px: 0.977994
        Validation (final) EPE: 1.401598, 1px: 0.882951, 3px: 0.944124, 5px: 0.961045
 60000  Validation (clean) EPE: 0.752176, 1px: 0.920812, 3px: 0.967817, 5px: 0.978543
        Validation (final) EPE: 1.366852, 1px: 0.884555, 3px: 0.944571, 5px: 0.961512
 70000  Validation (clean) EPE: 0.745050, 1px: 0.922991, 3px: 0.968725, 5px: 0.979221
        Validation (final) EPE: 1.311736, 1px: 0.887191, 3px: 0.946401, 5px: 0.962785
 80000  Validation (clean) EPE: 0.704130, 1px: 0.923772, 3px: 0.968704, 5px: 0.979257
        Validation (final) EPE: 1.189382, 1px: 0.886981, 3px: 0.946928, 5px: 0.964056
 90000  Validation (clean) EPE: 0.690285, 1px: 0.924840, 3px: 0.969748, 5px: 0.980319
        Validation (final) EPE: 1.181987, 1px: 0.889076, 3px: 0.949002, 5px: 0.965019
100000  Validation (clean) EPE: 0.704180, 1px: 0.926167, 3px: 0.970491, 5px: 0.980724
        Validation (final) EPE: 1.124671, 1px: 0.890397, 3px: 0.948782, 5px: 0.965218
110000  Validation (clean) EPE: 0.636477, 1px: 0.927194, 3px: 0.971358, 5px: 0.981452
        Validation (final) EPE: 1.086054, 1px: 0.892193, 3px: 0.950548, 5px: 0.966843
120000  Validation (clean) EPE: 0.624016, 1px: 0.927775, 3px: 0.971613, 5px: 0.981636
        Validation (final) EPE: 1.117882, 1px: 0.893493, 3px: 0.950395, 5px: 0.966454
130000  Validation (clean) EPE: 0.624685, 1px: 0.928873, 3px: 0.971896, 5px: 0.981822
        Validation (final) EPE: 1.117612, 1px: 0.893233, 3px: 0.950361, 5px: 0.966283
140000  Validation (clean) EPE: 0.597198, 1px: 0.929404, 3px: 0.972361, 5px: 0.982208
        Validation (final) EPE: 1.021374, 1px: 0.895382, 3px: 0.951658, 5px: 0.967342
150000  Validation (clean) EPE: 0.593466, 1px: 0.930013, 3px: 0.972712, 5px: 0.982403
        Validation (final) EPE: 1.028967, 1px: 0.895656, 3px: 0.952232, 5px: 0.968079
160000  Validation (clean) EPE: 0.585091, 1px: 0.930548, 3px: 0.973006, 5px: 0.982668
        Validation (final) EPE: 0.977686, 1px: 0.896579, 3px: 0.953225, 5px: 0.968761
using validate.py:
160000  Validation (clean) EPE: 0.583696, 1px: 0.930498, 3px: 0.972972, 5px: 0.982657
        Validation (final) EPE: 0.978619, 1px: 0.896604, 3px: 0.953256, 5px: 0.968775

Things:
120000  Validation (frames_cleanpass) EPE: 3.462847, 1px: 0.818217, 3px: 0.899221, 5px: 0.921652
        Validation (frames_finalpass) EPE: 3.559263, 1px: 0.814847, 3px: 0.897443, 5px: 0.920188
160000  Validation (frames_cleanpass) EPE: 3.303829, 1px: 0.821797, 3px: 0.901979, 5px: 0.924049
        Validation (frames_finalpass) EPE: 3.315021, 1px: 0.818944, 3px: 0.900707, 5px: 0.923267

env CUDA_VISIBLE_DEVICES=2,3 python train.py --name setrans-sintel --stage sintel --validation sintel --output results/sintel/setrans --restore_ckpt results/things/setrans-things-warmup8k.pth --num_steps 160000 --lr 0.000125 --image_size 368 768 --wdecay 0.00001 --gamma 0.85 --gpus 0 1 --batch_size 6 --val_freq 10000 --print_freq 100 --mixed_precision --setrans --rafter --corrnorm global --perturbpew 0.2 

Time: 09041049
Args:
Namespace(add_noise=False, batch_size=6, clip=1.0, corr_norm_type='global', corr_radius=4, dropout=0.0, epsilon=1e-08, freeze_bn=False, gamma=0.85, gpus=[0, 1], image_size=[368, 768], inter_num_modes=1, inter_pos_embed_weight=0.5, inter_qk_have_bias=True, intra_num_modes=4, intra_pos_embed_weight=1.0, iters=12, lr=0.000125, mixed_precision=True, model_name='', name='setrans-sintel', num_heads=1, num_steps=160000, output='results/sintel/setrans', perturb_pew_range=0.2, pos_embed_type='lsinu', position_and_content=False, position_only=False, print_freq=100, rafter=True, restore_ckpt='results/things/setrans-things-warmup8k.pth', setrans=True, small=False, stage='sintel', upsample_learn=False, val_freq=10000, validation=['sintel'], wdecay=1e-05)
Lookup radius: 4
inter-frame trans config:
{'feat_dim': 256, 'in_feat_dim': 256, 'pos_dim': 2, 'pos_embed_weight': 0.5, 'perturb_pew_range': 0.2, 'num_modes': 1, 'tie_qk_scheme': 'shared', 'mid_type': 'shared', 'trans_output_type': 'private', 'act_fun': <function gelu at 0x7f098e414b80>, 'attn_clip': 100, 'attn_diag_cycles': 1000, 'base_initializer_range': 0.02, 'qk_have_bias': True, 'v_has_bias': False, 'query_idbias_scale': 10, 'feattrans_lin1_idbias_scale': 10, 'pool_modes_feat': 'softmax', 'hidden_dropout_prob': 0.1, 'attention_probs_dropout_prob': 0.2, 'pos_embed_type': 'lsinu', 'ablate_multihead': False, 'out_attn_probs_only': False, 'out_attn_scores_only': True, 'max_pos_size': 160}
inter-frame correlation block: in_feat_dim: 256, feat_dim: 256, modes: 1, qk_have_bias: True
Positional embedding weight perturbation: 0.1
Learnable Sinusoidal positional encoding
intra-frame attention: in_feat_dim: 128, feat_dim: 128, modes: 4, qk_have_bias: False
Positional embedding weight perturbation: 0.2
Learnable Sinusoidal positional encoding
intra-frame trans config:
{'feat_dim': 128, 'in_feat_dim': 128, 'pos_dim': 2, 'pos_embed_weight': 1.0, 'perturb_pew_range': 0.2, 'num_modes': 4, 'tie_qk_scheme': None, 'mid_type': 'shared', 'trans_output_type': 'private', 'act_fun': <function gelu at 0x7f098e414b80>, 'attn_clip': 100, 'attn_diag_cycles': 1000, 'base_initializer_range': 0.02, 'qk_have_bias': False, 'v_has_bias': False, 'query_idbias_scale': 10, 'feattrans_lin1_idbias_scale': 10, 'pool_modes_feat': 'softmax', 'hidden_dropout_prob': 0.1, 'attention_probs_dropout_prob': 0.2, 'pos_embed_type': 'lsinu', 'ablate_multihead': False, 'out_attn_probs_only': True, 'out_attn_scores_only': False, 'has_FFN': False, 'has_input_skip': True}
Motion Aggregator: v_has_bias: False, has_FFN: False, has_input_skip: True
Parameter Count: 5914436
Training with 288502 image pairs
train.py:179: FutureWarning: Non-finite norm encountered in torch.nn.utils.clip_grad_norm_; continuing anyway. Note that the default behavior will change in a future release to error out if a non-finite total norm is encountered. At that point, setting error_if_nonfinite=false will be required to retain the old behavior.
  torch.nn.utils.clip_grad_norm_(model.parameters(), args.clip)
/home/li_shaohua/venv/lib/python3.8/site-packages/torch/optim/lr_scheduler.py:129: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
  warnings.warn("Detected call of `lr_scheduler.step()` before `optimizer.step()`. "
/home/li_shaohua/venv/lib/python3.8/site-packages/torch/optim/lr_scheduler.py:1289: UserWarning: To get the last learning rate computed by the scheduler, please use `get_last_lr()`.
  warnings.warn("To get the last learning rate computed by the scheduler, "
[   100,  0.0000065]     0.8245,     0.9057,     0.9278,     4.1893,    24h04m
[   200,  0.0000080]     0.8087,     0.8985,     0.9224,     3.4851,    21h22m
[   300,  0.0000095]     0.8165,     0.9060,     0.9285,     3.0945,    21h18m
[   400,  0.0000110]     0.8233,     0.9070,     0.9295,     3.4839,    21h18m
[   500,  0.0000125]     0.8456,     0.9201,     0.9394,     2.8296,    21h18m
[   600,  0.0000140]     0.8294,     0.9146,     0.9352,     3.3317,    21h18m
[   700,  0.0000155]     0.8093,     0.8989,     0.9241,     3.3493,    21h16m
[   800,  0.0000170]     0.8265,     0.9076,     0.9293,     3.3691,    21h18m
[   900,  0.0000185]     0.8324,     0.9141,     0.9356,     2.7240,    21h16m
[  1000,  0.0000200]     0.8367,     0.9162,     0.9366,     3.1902,    21h15m
[  1100,  0.0000215]     0.8433,     0.9200,     0.9400,     2.9208,    21h13m
[  1200,  0.0000230]     0.8330,     0.9199,     0.9410,     2.5075,    21h15m
[  1300,  0.0000245]     0.8208,     0.9055,     0.9302,     3.3047,    21h14m
[  1400,  0.0000260]     0.8376,     0.9184,     0.9391,     2.5092,    21h10m
[  1500,  0.0000275]     0.8353,     0.9172,     0.9387,     2.5454,    21h11m
[  1600,  0.0000290]     0.8225,     0.9087,     0.9317,     3.1658,    21h10m
[  1700,  0.0000305]     0.8266,     0.9138,     0.9355,     2.8015,    21h09m
[  1800,  0.0000320]     0.8257,     0.9095,     0.9320,     3.2406,    21h07m
[  1900,  0.0000335]     0.8430,     0.9213,     0.9409,     3.4596,    21h09m
[  2000,  0.0000350]     0.8292,     0.9128,     0.9344,     2.8475,    21h08m
[  2100,  0.0000365]     0.8188,     0.9065,     0.9294,     3.2680,    21h07m
[  2200,  0.0000380]     0.8376,     0.9192,     0.9401,     2.3165,    21h04m
[  2300,  0.0000395]     0.8227,     0.9088,     0.9305,     3.5517,    21h06m
[  2400,  0.0000410]     0.8332,     0.9155,     0.9368,     3.1654,    21h05m
[  2500,  0.0000425]     0.8179,     0.9054,     0.9274,     3.3938,    21h05m
[  2600,  0.0000440]     0.8357,     0.9195,     0.9415,     2.4889,    21h05m
[  2700,  0.0000455]     0.8317,     0.9108,     0.9320,     3.4112,    21h03m
[  2800,  0.0000470]     0.8416,     0.9210,     0.9404,     2.9025,    21h03m
[  2900,  0.0000485]     0.8382,     0.9199,     0.9412,     2.5263,    21h00m
[  3000,  0.0000500]     0.8351,     0.9126,     0.9329,     3.4983,    21h00m
[  3100,  0.0000515]     0.8295,     0.9102,     0.9316,     3.2808,    21h00m
[  3200,  0.0000530]     0.8348,     0.9187,     0.9408,     2.6738,    20h58m
[  3300,  0.0000545]     0.8325,     0.9147,     0.9368,     2.6392,    20h57m
[  3400,  0.0000560]     0.8456,     0.9239,     0.9438,     2.4861,    20h57m
[  3500,  0.0000575]     0.8394,     0.9196,     0.9401,     2.9311,    20h56m
[  3600,  0.0000590]     0.8247,     0.9108,     0.9327,     3.3543,    20h57m
[  3700,  0.0000605]     0.8326,     0.9171,     0.9391,     2.6852,    20h54m
[  3800,  0.0000620]     0.8299,     0.9127,     0.9342,     3.0906,    20h54m
[  3900,  0.0000635]     0.8249,     0.9078,     0.9296,     3.3480,    20h54m
[  4000,  0.0000650]     0.8208,     0.9062,     0.9302,     2.7819,    20h50m
[  4100,  0.0000665]     0.8426,     0.9197,     0.9394,     2.8234,    20h53m
[  4200,  0.0000680]     0.8292,     0.9145,     0.9360,     2.9002,    20h51m
[  4300,  0.0000695]     0.8294,     0.9124,     0.9336,     3.3661,    20h49m
[  4400,  0.0000710]     0.8335,     0.9178,     0.9388,     2.8978,    20h47m
[  4500,  0.0000725]     0.8271,     0.9093,     0.9305,     3.8468,    20h49m
[  4600,  0.0000740]     0.8317,     0.9124,     0.9331,     3.9370,    20h47m
[  4700,  0.0000754]     0.8383,     0.9191,     0.9405,     2.4524,    20h46m
[  4800,  0.0000769]     0.8413,     0.9200,     0.9416,     2.4694,    20h45m
[  4900,  0.0000784]     0.8356,     0.9172,     0.9378,     3.4945,    20h45m
[  5000,  0.0000799]     0.8256,     0.9077,     0.9303,     3.5854,    20h45m
[  5100,  0.0000814]     0.8310,     0.9121,     0.9326,     3.3921,    20h42m
[  5200,  0.0000829]     0.8294,     0.9129,     0.9342,     2.7153,    20h41m
[  5300,  0.0000844]     0.8315,     0.9127,     0.9344,     3.1802,    20h42m
[  5400,  0.0000859]     0.8504,     0.9268,     0.9458,     2.3771,    20h41m
[  5500,  0.0000874]     0.8360,     0.9144,     0.9352,     2.4648,    20h39m
[  5600,  0.0000889]     0.8259,     0.9102,     0.9325,     3.6278,    20h39m
[  5700,  0.0000904]     0.8352,     0.9162,     0.9377,     3.1971,    20h37m
[  5800,  0.0000919]     0.8342,     0.9196,     0.9394,     3.7594,    20h37m
[  5900,  0.0000934]     0.8255,     0.9108,     0.9334,     2.9728,    20h36m
[  6000,  0.0000949]     0.8265,     0.9070,     0.9278,     4.1392,    20h36m
[  6100,  0.0000964]     0.8413,     0.9225,     0.9438,     2.4909,    20h37m
[  6200,  0.0000979]     0.8228,     0.9079,     0.9310,     3.5440,    20h32m
[  6300,  0.0000994]     0.8200,     0.9022,     0.9248,     4.7659,    20h34m
[  6400,  0.0001009]     0.8235,     0.9066,     0.9287,     3.3997,    20h32m
[  6500,  0.0001024]     0.8379,     0.9217,     0.9428,     2.9248,    20h31m
[  6600,  0.0001039]     0.8367,     0.9177,     0.9384,     3.1593,    20h28m
[  6700,  0.0001054]     0.8295,     0.9142,     0.9359,     3.1862,    20h31m
[  6800,  0.0001069]     0.8238,     0.9103,     0.9331,     3.1106,    20h29m
[  6900,  0.0001084]     0.8327,     0.9154,     0.9363,     2.7509,    20h27m
[  7000,  0.0001099]     0.8207,     0.9063,     0.9278,     5.0536,    20h24m
[  7100,  0.0001114]     0.8339,     0.9104,     0.9307,     3.5800,    20h24m
[  7200,  0.0001129]     0.8277,     0.9132,     0.9346,     3.1459,    20h22m
[  7300,  0.0001144]     0.8143,     0.9017,     0.9241,     3.6319,    20h19m
[  7400,  0.0001159]     0.8249,     0.9147,     0.9364,     2.7373,    20h18m
[  7500,  0.0001174]     0.8277,     0.9108,     0.9331,     3.3377,    20h17m
[  7600,  0.0001189]     0.8395,     0.9177,     0.9376,     2.9729,    20h16m
[  7700,  0.0001204]     0.8331,     0.9171,     0.9383,     3.1412,    20h15m
[  7800,  0.0001219]     0.8321,     0.9146,     0.9360,     3.1344,    20h18m
[  7900,  0.0001234]     0.8256,     0.9083,     0.9305,     3.5240,    20h16m
[  8000,  0.0001249]     0.8373,     0.9196,     0.9414,     2.5682,    20h16m
[  8100,  0.0001249]     0.8420,     0.9222,     0.9411,     2.7109,    20h16m
[  8200,  0.0001248]     0.8367,     0.9156,     0.9365,     2.8018,    20h17m
[  8300,  0.0001248]     0.8353,     0.9146,     0.9345,     3.7673,    20h16m
[  8400,  0.0001247]     0.8404,     0.9203,     0.9403,     2.7466,    20h17m
[  8500,  0.0001246]     0.8417,     0.9205,     0.9399,     3.4508,    20h19m
[  8600,  0.0001245]     0.8299,     0.9122,     0.9331,     3.3085,    20h14m
[  8700,  0.0001244]     0.8311,     0.9100,     0.9311,     3.5851,    20h17m
[  8800,  0.0001243]     0.8287,     0.9099,     0.9317,     3.4356,    20h13m
[  8900,  0.0001243]     0.8280,     0.9076,     0.9282,     4.3970,    20h12m
[  9000,  0.0001242]     0.8332,     0.9204,     0.9427,     2.3501,    20h11m
[  9100,  0.0001241]     0.8209,     0.9089,     0.9316,     3.4391,    20h09m
[  9200,  0.0001240]     0.8339,     0.9126,     0.9329,     3.6513,    20h08m
[  9300,  0.0001239]     0.8363,     0.9153,     0.9352,     3.6099,    20h10m
[  9400,  0.0001239]     0.8243,     0.9074,     0.9289,     3.4162,    20h08m
